key	linga	base	pratyaya	head_segment	lnum	page
aMsa		puM aMsa	karmmaBAvAdO ac	aMsa puM aMsa — karmmaBAvAdO ac . aMSaSabdArTe, skanDe ca . “ aMsanizaktabAhuH ” “ aMsAropicApeneti ” SAnto'pi skanDe .	25	0037,a
aMsatra	na0	aMsaM skanDaM trAyate trE	ka	aMsatra na0 aMsaM skanDaM trAyate trE — ka . skanDAvarake kavacaBede .	26	0037,a
aMsakUwa				aMsakUwa puMna0 aMsaH kUwa iva bfhattvAt . bfhatskanDe “ rAja- nyoccAMsakUwakraTanapawurawadGoraDAraH kuWAra iti praboDa0	27	0037,a
aMsaBAra				aMsa(se)BAra pu0 aMse DftaH BAraH SA0 ta0 vA aluk . skanDaDftaBAre .	28	0037,a
aMseBAra				aMsa(se)BAra pu0 aMse DftaH BAraH SA0 ta0 vA aluk . skanDaDftaBAre .	28.1	0037,a
aMsaBArika				aMsa(se)BArika tri0 aMsa(se) BAreRa harati BastrA0 zWan . skanDaBArahArake, striyAM NIz .	29	0037,a
aMseBArika				aMsa(se)BArika tri0 aMsa(se) BAreRa harati BastrA0 zWan . skanDaBArahArake, striyAM NIz .	29.1	0037,a
aMsala				aMsala tri0 aMsa + balopADike astyarTe lac . balavati .	30	0037,a
aMsya				aMsya tri0 aMse BavaH aMsa + yat . skanDaBave, “ ye aMsyA ye aNgyAH sUcikA ” iti vedaH . aMsa — karmmaRi yat . viBAjye tri0 .	31	0037,a
aMha				aMha BAsane ada0 cu0 uBa0 . aMhayati te AYjihat ta .	32	0037,b
aMhati	strI	0 hanti duritamanayA hana	ati, aMhAdeSaH	aMhati strI0 hanti duritamanayA hana — ati, aMhAdeSaH . dAne .	33	0037,b
aMhas	na0	amati gacCati prAyaScittena ama	asun huk ca	aMhas na0 amati gacCati prAyaScittena ama — asun huk ca . pApe “ muYcantvaMhasa ” iti vedaH svaDarmmatyAge “ loBo'nftaM cOryyamanAryyamaMho jyezWA ca mAyA kalahaSca daRqa ” iti BAgavate kaliM prati pa	34	0037,b
aMhiti	strI	0 ahi	ktin grahAditvAt iw	aMhiti strI0 ahi — ktin grahAditvAt iw . dAne .	35	0037,b
aMhu	tri0	ahi	mfga0 ku	aMhu tri0 ahi — mfga0 ku . pApakAriRi . “ A vo'rvAcI sumatirvavftyAdaMhoScidyA ” iti (ya0 8, 7) “ aMhoH ” pApakAriRaH hananaSIlasyeti vedadIpaH .	36	0037,b
aMhura	tri0	ahi	madgurAdi0 urac	aMhura tri0 ahi — madgurAdi0 urac . gatiyukte “ sapta maryyAdAH kavayastatakzustAsAmekAmidamaByaMhuro gAt ” iti vedaH .	37	0037,b
aMhri	pu0	aMhati gacCatyanena ahi	vaNkryAdi0 krin	aMhri pu0 aMhati gacCatyanena ahi — vaNkryAdi0 krin . pAde vfkzAdInAM mUle, tena aMhripo vfkzaH . catuHsaMKyAyAYca .	38	0037,b
aMhripa	pu0	aMhriRA mUlena pibati siktatoyam pA	ka	aMhripa pu0 aMhriRA mUlena pibati siktatoyam pA — ka . vfkzamAtre .	39	0037,b
aMhriskanDa				aMhriskanDa pu0 ahreH skanDa iva . gulPe aNguzWANgulimaDyaBAgasya upariBAge ca .	40	0037,b
aka				aka vakragatO BvA0 pa0 GawAdi . akati AkIt . akayati .	41	0037,b
aka				aka na0 na kam suKam guRavacanasya naYyoge viro- DyarTABiDAyitA na0 ta0 . duHKe . nAsti kaM suKaM yasmAt . pApe . nAkaSabde akaM duHKaM pApaM vA .	42	0037,b
akaca	pu0	akAya duHKAya cAyate cAya	qa	akaca pu0 akAya duHKAya cAyate cAya — qa . ketugrahe tasya codayena lokopaplavasya SAstraprasidDiH ketuSabde vistaraH . “ upaplavAya lokAnAM DUmaketurivotTita iti kumA0 . nAsti kacoyasya . keSaSUnye (	43	0037,b
akaqama				akaqama na0 a, ka, qa, ma, ityAdikrameRa AdyakozWAdO varRRasamu- dAyo'styatra ac . grAhyagopAlamantrasya SuBASuBavicAro- payogini cakraBede . tatsvarUpaM yaTA rudrayAmale —“ reKAdvayaM pUrvvapare maDy	44	0037,b
akaTaha				akaTaha na0 a, ka, Ta, ha, ityAdivarRasaMGakrameRa varRasamudAyo- 'styasmin ac . tantroktamantragrahaRArTaM tattanmantrARAM SuBA- SuBavicAropayogini cakraBede tatsvarUpaM yaTA rudrayAmale . “ vakzye'k	45	0038,a
akanizWa				akanizWa pu0 ake vedanindArUpe pApe nizWA'sya . budDe . na0 ta0 . kanizWaBinne jyezWe maDyamAdO ca tri0 .	46	0038,a
akanizWapa	pu0	akanizWAn budDAn pAtIti pA	ka	akanizWapa pu0 akanizWAn budDAn pAtIti pA — ka . budDA- DipaBede . na0 ta0 . kanizWaBinnapAlake tri0 .	47	0038,a
akampita				akampita pu0 kampitaM budDivftteScAlanaM tannAsti yasya . budDa- Bede . kapi — karttari kta na0 ta0 . saNkalpitavastuByo'nuparate dfQADyavasAye tri0 . BAve kta na0 va0 . kampanaSUnye tri0 .	48	0038,b
akaraRa	na0	kf	BAve lyuw arTABAve na0 ta0	akaraRa na0 kf — BAve lyuw arTABAve na0 ta0 . karaRA- BAve nivfttO “ akaraRe pratyavAyAnubanDitvaM nityatvamiti ” mImAMsakAdayaH . “ akaraRAt mandakaraRaM Sreya ” iti smArttAH akaraRaYca nyAyAdimate k	49	0038,b
akaraRi	strI	0 naY + kf	AkroSe ani	akaraRi strI0 naY + kf — AkroSe ani . karaRaM mA BUdityAkroSAtmake SApe . “ tasyAkaraRirevAstu ” iti .	50	0038,b
akarA				akarA strI0 akaM duHKaM sevanAt lokAnAM rAti gfhRAti nASayatIti rA — ka . AmalakyAm . nAsti karo'sya . karaSUnye tri0 . na karoti kf — ac na0 ta0 . kAraka- Binne karaRaSIlaBinne nivfttipare ca tri0 .	51	0038,b
akaruRa				akaruRa tri0 nAsti karuRA yasya yatra vA . dayASUnye dEnyaSUnye ca .	52	0038,b
akarkaSa				akarkaSa tri0 na karkaSaH . kArkaSyaviroDimfdutvavati komale	53	0038,b
akarRRa				akarRRa tri0 nAsti karRRo'sya . SravaRendriyaSUnye “ paSyatya- karRa ” iti SrutiH . sarpe pu0 tasya cakzuzEva SravaRAttadi- ndriyaSUnyatvam . rADeyaH karRRaH taCUnye tri0 . “ anarjuna makarRaM vA jaga	54	0038,b
akarttana	tri0	uccasTaM PalaM karttituM SIlamasya kfta	yuc na0 ta0	akarttana tri0 uccasTaM PalaM karttituM SIlamasya kfta — yuc na0 ta0 . uccaviroDihrasvatvavati Karve . kfta — BAve lyuw na0 ba0 . CedanAkarttari tri0 .	55	0038,b
