key	linga	base	pratyaya	head_segment	lnum	page
kfzRaka				kfzRaka pu0 kfzRaprakAraH sTUlA0 kan . 1 kfzRasarzape anu- kampitaM kfzRAjinam kan ajinAntatvAdattarapadalopaH . anukampite 2 kfzRAjine na0	14805	2213,a
kfzRakanda				kfzRakanda na0 kfzRaH kando'sya . raktotpale trikA0	14806	2213,a
kfzRakarkawaka				kfzRakarkawaka puMstrI nityakarmma0 . karkawaBede suSrutaH . “ kUrmmakumBIrakarkawakfzRakarkawaSiSumArapraBftayaH pAdinaH ” suSrute pAdijalacaroktO	14807	2213,a
kfzRakarmman				kfzRakarmman na0 karmma0 . 1 hiMsAdinizidDakarmmaRi . ba0 va0 . 2 tadyukte pApAcAriRi tri0 amaraH 3 vraRasya kfzRatAsa- mpAdake kriyABede sa ca suSrutena darSito yaTA “ aTa vraRasyopaSaprakramABavantI	14808	2213,a
kfzRakali				kfzRakali pu0 kfzRa iva cUqAlA kaliH kalikA'sya . svanA- maKyAte puzpapraDAne vfkze .	14809	2213,a
kfzRakAka				kfzRakAka puMstro nityakarmma0 . (dAqakAka) kAkaBede hArA0 striyAM jAtitvAt NIz .	14810	2213,a
kfzRakApotI				kfzRakApotI strI ozaDiBede suSru0 . “ aTozaDIrvyAKyA- syAmaH ” ityupakrame “ SvetakApotI kfzRakApotI ” ityAdinA viBajya tadupayogaprakArodarSito yayA . “ gonasyajagaro- kfzRakApotInAM sanaKamuzwi KaRq	14811	2213,a
kfzRakAya				kfzRakAya puMstrI kfzRaHkAyo'sya mahize Sabdaci0 . jAti- tve'pi yopaDatvAt striyAM na NIz kintu wAp .	14812	2213,a
kfzRakAzWa				kfzRakAzWa na0 kfzRaM kAzWamasya . kAlAguruRi rAjani0	14813	2213,a
kfzRakohala				kfzRakohala pu0 kfzRakasya kfzRakarmmaRaH UhaM vitarkaM lAti lA — ka . dyUtakAriRi trikA0 .	14814	2213,a
kfzRagaNgA				kfzRagaNgA strI nitya0 . kfzRaveRAyAM nadIBede rAjani0 .	14815	2213,b
kfzRagataroga				kfzRagataroga pu0 netrAvayavaBedakfzRagatarogaBede . tadvijYA- nAdi suSrute uktaMyaTA . “ aTAtaH kfzRagatarogavijYAnIyamaDyAyaM vyAKyAsyAmaH . yatsavraRaM SukramaTAvraRaM vA pAkAtyayaScAyajakA taTEva 	14816	2213,b
kfzRagati				kfzRagati pu0 kfzRA gatirgatisTAnamasya . kfzRavartmani vahnO tasya gamanasTAnasya tadgatyA kfzRatAprAptestasya taTAtvam . “ vavfDe sa tadA garBaH kakze kfzRagatiryaTA ” BA0 Anu0 85 a0 .	14817	2213,b
kfzRaganDa				kfzRaganDa pu0 kfzRa ugro ganDo'sya . SoBAYcanavfkze rAjani0	14818	2213,b
kfzRagarBa				kfzRagarBa pu0 kfzRavarRogarBo'sya . kawPale rAjani0 .	14819	2213,b
kfzRagiri				kfzRagiri pu0 nityakarmma0 . nIlagirO	14820	2213,b
kfzRagoDA				kfzRagoDA kfzRaH goDeva . kIwaBede . “ sUcomuKaH kfzRa- goDA yaSca kAzAyavAsikaH ” suSru0 kIwaSabde vivftiH .	14821	2213,b
kfzRagrIva				kfzRagrIva tri0 kfzRA grIvA yasya . kfzRavarRRagale'jAdO “ kf- zRagrIva AgneyaH ” yaju0 24, 2, “ kfzRagrIvaH sitikakzo'- YjisakTaste EndrAgnAH ” ityAdi aSvameDIyapaSuviSe- zoktO . “ Svetalohitaparyyan	14822	2213,b
kfzRacaYcuka				kfzRacaYcuka pu0 kfzRA caYcUrasya kap . caRake rAjani0 .	14823	2213,b
kfzRacandana				kfzRacandana na0 kfzRapriyaM candanam SA0 ta0 . haricandana Svetacandane Sabdaci0	14824	2214,a
kfzRacandra				kfzRacandra pu0 kfzRaScandra iva . vAsudeve tasya candravat BaktAnA mAhRAdakatvAttaTAtvam .	14825	2214,a
kfzRacara				kfzRacara pu0 kfzRasya BUtapUrvvaH caraw . BUtapUrvvakfzRasamba- nDini gavAdO	14826	2214,a
kfzRacUqA				kfzRacUqA strI kfzRasya cUqA iva cUqA'sya . svanAmaKyAte puzpavfkze . svArTe ka ata ittvam . tatrArTe rAjani0 .	14827	2214,a
kfzRacUqikA				kfzRacUqikA strI kfzRAcUqA'graM yasyAH kap ata ittvam . guYjAyAM rAjami0 .	14828	2214,a
kfzRacUrRRa				kfzRacUrRRa na0 kfzRaM tadvarRRaM cUrRam . lOhamale (lohAra gu) rAjani0 .	14829	2214,a
kfzRajawA				kfzRajawA strI kfzRA jawA yasyAH . jawAmAMsyAm ratnamA0	14830	2214,a
kfzRajIraka				kfzRajIraka pu0 nityakarmma0 . kAlaparRRajIrake (kAlajIre) amaraH “ kawUzRaH kaPaSoTaGno jIrRRajvaravinASanaH . cakzuzyo rucikfdgrAhI kfzRajIraka IritaH ” rAjani0	14831	2214,a
kfzRataRqulA				kfzRataRqulA strI kfzRastaRquloyasyAH . karRRasPowala- tAyAM rAjani0 .	14832	2214,a
kfzRatAmra				kfzRatAmra na0 “ varRRovarRena ” pA0 karmma0 . goSIrzacandane SabdamA0 .	14833	2214,a
kfzRatAra		puMstrI kfzRatAmfcCati f	aR upa0 sa0	kfzRatAra puMstrI kfzRatAmfcCati f — aR upa0 sa0 . 1 kfzRa- sAramfge 2 hariRamAtrecarAjani0 . striyAM jAtitvAt NIz .	14834	2214,a
kfzRatrivftA				kfzRatrivftA strI nitya karmma0 . (kAlateoqI) trivftA- Bede jawA0 .	14835	2214,a
kfzRadanta				kfzRadanta tri0 kfzRA dantAyasya . 1 kAlavarRRadantayukte 2 kASmarIvfkze strI rAjani0 wAp .	14836	2214,a
kfzRadeha				kfzRadeha puMstrI kfzRodeho'sya . 1 Bramare sArasvataH striyAM NIz 2 kAlavarRadehAnvite tri0 . karmma0 . kAlavarRRe 3 dehe pu0	14837	2214,a
kfzRadvEpAyana				kfzRadvEpAyana pu0 dvIpe yamunAdvIpe BazaH Pak dvIpo'yanaM janmaBUmirvAsya prajYAdyaR karmma0 . vedavyAse tasya yamunA- dvIpotpattikaTA BA0 A0 105 a0 . “ Darmmayuktasya DarmmArTaM piturAsIttarI mama .	14838	2214,a
kfzRaDattUra				kfzRaDattU(DUstU)ra pu0 karmma0 (kanakaDutarA) vfkzaBede . “ sitanIlakfzRalohitapItaDUsarASca santi DattUrAH . sAmAnyaguRopetAstezu guRAQyastu kfzRakusumaH syAt ” rAjani0 . DattUraSabde tatsAmAnyaguRA	14839	2214,b
kfzRaDUstUra				kfzRaDattU(DUstU)ra pu0 karmma0 (kanakaDutarA) vfkzaBede . “ sitanIlakfzRalohitapItaDUsarASca santi DattUrAH . sAmAnyaguRopetAstezu guRAQyastu kfzRakusumaH syAt ” rAjani0 . DattUraSabde tatsAmAnyaguRA	14839.1	2214,b
kfzRaDana				kfzRaDana na0 karmma0 . dyUtAdiBirarjjite Dane . arTaSabde 367 pf0 vivftiH . “ pArSvikadyUtacOryyAptaM pratirUpakasA- hasEH . CalenopArjjitaM yacca tatkfzRaM svamudAhftam ” vizRasaM0 . “ pArSvikaH apA	14840	2215,a
kfzRapakza				kfzRapakza pu0 karmma0 . candrasya kalAhrAsakare pratipadAdi- darSAnte paYcadaSatiTyAtmake kAle . tatra (cAndre) pakzA vuBO mAse SuklakfzRO krameRa hi . candravfdDikaraH SuklaH kfzRaScandrakzayAtmakaH	14841	2215,a
kfzRapadI				kfzRapadI strI kfzRO pAdO yasyAH kumBapa0 NIz antyalopaH padBAvaSca . kAlapAdayuktAyAM striyAm .	14842	2215,a
kfzRaparRI				kfzRaparRI strI kfzRaM parRamasyAH . kAlatulasyAm . ratnamA0	14843	2215,a
kfzRapavi				kfzRapavi pu0 pUyate pU — SoDe in paviH panTAH “ panTA vAtena SuDyati ” ityukteH paTovAtaBinnaSudDihetvanapekzaRAt taTAtvam kfzRaH panTA yasya . vahnO “ pfTivyAM kfzRa- pavirozaDIBirvavakze ” f0 7, 8,	14844	2215,a
kfzRapAka				kfzRapAka pu0 pacyate iti pAkaH PalaM kfzRaH kfzRavarRRaH pAkaH PaRamasya . karamardde ratnA0	14845	2215,a
kfzRapAkaPala				kfzRapAkaPala pu0 kfzRapAkarUpaM Palamasya . karamardde amaraH	14846	2215,a
kfzRapiNgala				kfzRapiNgala tri0 “ barRovarRena ” pA0 karmma0 . kAlapiNgalavarRa yukte “ ftaM satyaM paraM brahma puruzaM kAlapiNgalam ” rudro pasTAnamantraH . tasyApatyam iY . kAzrRapiNgali tadapa tye bahutve upakA	14847	2215,a
kfzRapiRqItaka				kfzRapiRqItaka pu0 nityakamma0 . kfzRapiRqIraBede ratna- mAlA kfzRapiRqIro'pyatra .	14848	2215,a
kfzRapippilI				kfzRapippilI strI nityakarmma0 . pipolikABede vfkzA- rohipirpa likAyAM (kAWapipiqA) rAjani0	14849	2215,a
kfzRapuzpa				kfzRapuzpa pu0 kfzRaM puzpamasya . 1 kfzRaDattUre rAjani0 2 pri yaNgavfkze strI NIp Sabdaca0	14850	2215,a
kfzRaPala				kfzRaPala pu0 kfzRaM Palamasya . 1 karamardde(karamacA)vfkze 2 so- marAjyAM strI wApa amarawIkAyAMBarata	14851	2215,a
kfzRaPalapAka				kfzRaPalapAka pu0 kfzRaH PalasUpaH pAkoyasya . karamardde dvirUpako0	14852	2215,a
kfzRabalakza				kfzRa(va)balakza pu0 “ varRovarRena ” pA0 sa0 . 1 kAlaSvetavarRRe 2 tadyukte tri0 “ ajine pArSvasahite kfzRaba(va)lakze Avike ” kAtyA0 22, 4, 17, kfzRaDavalAdayo'pyatra .	14853	2215,b
kfzRavalakza				kfzRa(va)balakza pu0 “ varRovarRena ” pA0 sa0 . 1 kAlaSvetavarRRe 2 tadyukte tri0 “ ajine pArSvasahite kfzRaba(va)lakze Avike ” kAtyA0 22, 4, 17, kfzRaDavalAdayo'pyatra .	14853.1	2215,b
kfzRaBUma				kfzRaBUma pu0 kfzRa mUmiryatra ac samA0 . kAlavarRamf- ttikAyukte deSe hema0	14854	2215,b
kfzRaBUmija				kfzRaBUmija tri0 kfzRAyA BUmerjAyate jana — qa 1 kAlavarRa mfttikAta utpanne 2 gomUtrikAtfRe strI rAjani0	14855	2215,b
kfzRaBedA				kfzRaBedA(dI) strI kfzRovarRena Beda . KaRqo'syAH NIp kawukAyAM (kawkI) vfkze rAjani0 . vA gOrA0 NIz . tatrArTe amaraH	14856	2215,b
kfzRaBedI				kfzRaBedA(dI) strI kfzRovarRena Beda . KaRqo'syAH NIp kawukAyAM (kawkI) vfkze rAjani0 . vA gOrA0 NIz . tatrArTe amaraH	14856.1	2215,b
kfzRamaRqala				kfzRamaRqala na0 karmma0 . “ netrAvayavaBede . netrAyAmatriBA- gAttu kfzRamaRqalamucyate . kfzRAt saptamaBAgAM tu dfzwiM dfzwiviSAradAH ” suSru0 . BImasenAdivat uttarapadalope kfzRamapyatra tadaBiprAy	14857	2215,b
kfzRamallikA				kfzRamallikA strI kfzRA kfzRapriyA mallikeya . kfzRArjjake (kAlatulasI) vfkze rAjani0 .	14858	2215,b
kfzRamatsya				kfzRamatsya puMstrI nityakarmma0 (kAlavasa) iti KyAte matsya Bede “ pAWInapAwalArAjIvavarmmigomatsyakfzRamatsya vAguYjA- rasurala sahasra daMzwri praBftayo nAdeyA ” suSrutaH striyAM NIp	14859	2215,b
kfzRamuKa				kfzRamuKa tri0 kfzRaM suKamAsvamagraMvA yasya striyAM vA NIp 1 kfzRavarRa muKayukte 2 kAlAgre ca “ stanayoH kfzRamuKatA romarAjyadgamastaTA ” garBalakzaRe suSrutaH 3 vAnaraBede puMstrI0 striyAM jAtitv	14860	2215,b
kfzRamudga				kfzRamudga pu0 nityakarmma0 . mudgaBede tadBedaguRAdi BAvapra0 uktaM yaTA “ mudgamasUrayorADmAnAkAritvamanyavEdalApekzeyA natu sarvaTA etayorapi kiYcidADmAnakAritvAt tatra mudgasya guRAH mudgorUkzo la	14861	2215,b
kfzRamUlI				kfzRamUlI strI0 kfzRaMmUlamasyAH NIp . SArivABede . rAjani	14862	2215,b
kfzRamfga				kfzRamfga puMstrI nityakarmma0 . (kAlasAra) kfzRasAramfge “ rurUn kfzRamfgAMScEva meDyAdanyAn vanecarAn ” BA0 va0 53 a0 . striyAM jAtitvAt NIz kfzRahariRA- dayo'pyatra puMstrI0	14863	2216,a
kfzRamfd				kfzRamfd strI0 karmma0 . 1 kfzRavarRRe mfttikABede 2 SlakzRaBUmO hemaca0 . “ kfzRamft kzatadAhAsrapradaraSlezmapittanut ” rAjani0 kfzRamfttikA'pyatra . ba0 va0 . 3 tadyukte tri0 hemaca0	14864	2216,a
kfzRayajurveda				kfzRayajurveda pu0 tEttIrIyarUpayajurvedaBede . tasya kfzRatvaYca tasya pAWe pratipadAyuktapUrRRimAyAgrAhyatvat . yajurve- dasya dvO BedO SuklakfzRaBedAt tadavAntaraBedASca caraRavyU- haBAzyayo darSit	14865	2216,a
kfzRayAma				kfzRayAma pu0 kfzRoyAmovartma yasya . vahnO . “ vfScadvanaM kf- zRayAmam ” f0 6, 6, 1, “ kfzRayAmaM kfzRavartmAnam ” BA0	14866	2218,b
kfzRarakta				kfzRarakta pu0 varRRovarRReneti ” pA0 sa0 . 1 kAlalohitavarRRe (vemugIraN) 2 tadvati tri0 .	14867	2218,b
kfzRaruhA	strI	kfzRA satI rohati ruha	ka	kfzRaruhA strI kfzRA satI rohati ruha — ka . jatukAyAM rAjani0	14868	2218,b
kfzRarUpya				kfzRarUpya tri0 kfzRasya BUtapUrvaHrUpya . tadIyaBUtapUrvasambanDini . kfzRAyA ityarTe na puMvat . kfzRArUpya iti BedaH	14869	2218,b
kfzRala				kfzRala pu0 kfzRovarRRo'styasyArdDaPale siDmA0 lac . guYjAvfkze Sabdaci0 tatrArTe strI amaraH 2 tatPale na0 . “ dve kfzRale pala- Dfte vijYeyomaDyamoyavaH ” manuH . “ triyavaM tvekakfzRalam ” . “ sa d	14870	2218,b
kfzRalavaRa				kfzRalavaRa na0 nityakarmma0 . sOvarcalalavaRe (kAlAlona) rAjani0 kAcalavaRaSabde 1856 pf0 vivftiH .	14871	2218,b
kfzRaloha				kfzRaloha nityaka0 . ayaskAnte lOhasede rAjani0 .	14872	2218,b
kfzRalohita				kfzRalohita pu0 kfzRaH san lohitaH “ varRovarReneti ” pA0 sa0 . 1 raktakAlamiSritavarRe DUmale (vegunIraNa) . 2 tadvati tri0 amaraH .	14873	2218,b
kfzRavaktra				kfzRavaktra puMstrI0 kfzRaM vaktramasya . vAnare halAyuDaH saMyogo- paDatvAt jAtitve'pi striyAM wAp . kfzRavadanAdayo'pyatra	14874	2218,b
kfzRavarRRa				kfzRavarRRa pu0 kfzRo varRo'sya . 1 rAhO grahe . rAhoH CAyArUpatvena tamorUpatyAt taTAtvAropAt taTAtvam kfzRaH aSudDI varRaH . 2 SUdre pu0 . karmma0 . kAle varRRe pu0 kfzRavarRavati tri0 . “ kfzRavarR	14875	2218,b
kfzRavartman				kfzRavartman pu0 kfzRaM vartma DUmaprasArarUpagatisTAnamasya . 1 vahnO, “ havizA kfzRavartmeva BUya evABivardDate ” manu pAtayAmAma vihagAn pradIpte kfzRavartmani ” BA0 A0 226 a0 . 2 citrakavfkze amar	14876	2218,b
kfzRavarvara				kfzRavarvara pu0 ni0 karmma0 . varvaraBede (kAlatulasI) rAjani0 .	14877	2219,a
kfzRavallikA				kfzRavallikA strI karmma0 . jatukAlatAyAm rAjani0	14878	2219,a
kfzRavallI				kfzRavallI strI karmma0 . 1 kfzRatulasyAm, 2 karkawyAYca Sabdaca0 3 SArivABede rAjani0 .	14879	2219,a
kfzRavAnara				kfzRavAnara puMstrI nityakarmma0 . vAnaraBede golANgUle rAjani0 striyAM jAtitvAt NIz	14880	2219,a
kfzRavizARA				kfzRavizARA strI kfzRasya mfgasya vizARA vizARayuktA . yajamAnakaRqUyanasADanadravyaBede . tatsvarUpAdi kAtyA0 7, 3, uktaM yaTA “ kfzRavizARAM trivaliM paYcavaliM vo- ttAnAM daSAyAM baDnIta ” 29 sU0 “	14881	2219,a
kfzRavIja				kfzRavIja pu0 kfzRaM vIjamasya . 1 raktaSigrO, jawADaraH 2 kAliNge vfkze na0 rAjani0 .	14882	2219,a
kfzRavfntA				kfzRavfntA strI kfzRaM vfntamasyAH 1 pAwalAvfkze medi0 2 mAza- parRyAm amaraH . saMjYAyAM kan kApi ata ittvam . kfzRavfntikA gAmBAryyAm . ratnamA0	14883	2219,a
kfzRaveRA				kfzRaveRA strI BArataprasidDe nadIBedarUpe tIrTaBede . “ tato- devahrade'raRye kfzRAveRAjalodBave . jAtismarahrade snAtvA BavejjAtismaronaraH ” BA0 va0 85 a0 . “ suneRAM kfzRa- yeRAYca IrAmAYca mahAra	14884	2219,a
kfzRavrIhi				kfzRavrIhi pu0 nityakarmma0 . (keleDAna) vrIhiBede . kfzRabrIhiSAlAmuKetyAdinA vrIhIn viBajya suSrute tadguRA uktA yaTA “ kfzRavrIhirvarastezAM kazAyA- nuraso laGuH ” . “ nErftaH parivfttyE kfzRavrIhI	14885	2219,a
kfzRaSa				kfzRaSa na0 kfzRadaSa + pfzo0 . svayamakfzRe kfzRadaSAyukte vA- [Page2219-b+ 38] sasi . “ vAsaH kfzRaSaM kadru ” “ akfzRaM kfzRadaSaM vA tadAKyam ” kAtyA0 22, 4, 12, 13, . “ svayamakfzRaM sat kfzRadaS	14886	2219,a
kfzRaSakuni				kfzRaSakuni puMstrI nityakarmma0 . kAke . “ strISUdraSavakf- zRaSakuniSunakAdarSanam ” pAra0 gf0 .	14887	2219,b
kfzRaSAra				kfzRaSA(sA)ra puMstrI kfzRaScAsO SAraH (sAraH) SavalaSca “ varRo varReneti pA0 sa0 . (kAlasAra) mfgaBede ramAnATaH “ kfzRa(SA)sArastu carati mfgoyatra svaBAvataH ” manuH . “ kfzRa(SA)sAre dadaccakzust	14888	2219,b
kfzRasAra				kfzRaSA(sA)ra puMstrI kfzRaScAsO SAraH (sAraH) SavalaSca “ varRo varReneti pA0 sa0 . (kAlasAra) mfgaBede ramAnATaH “ kfzRa(SA)sArastu carati mfgoyatra svaBAvataH ” manuH . “ kfzRa(SA)sAre dadaccakzust	14888.1	2219,b
kfzRaSAli				kfzRaSAli pu0 karmma0 . (keleDAna) DAnyaBede . rAjani0 . “ kfzRaSAlistridozaGnomaDuro dfzwikfdDitaH . puzwivIryya- vardDanaSca varRRakAntibalapradaH ” rAjani0	14889	2219,b
kfzRaSigru				kfzRaSigru pu0 karmma0 . kfzRaSoBAYjane(kAlasajanA) . rAjani0	14890	2219,b
kfzRaSimbikA				kfzRaSimbikA strI0 karmma0 . kAkARqyAm . (kAlaSim) ratnamA0	14891	2219,b
kfzRaSfNga				kfzRaSfNga pu strI0 kfzRaM SfNgamasya . 1 mahize hemaca0 . striyAM svANgatvAt NIz .	14892	2219,b
kfzRasaKa				kfzRasaKa pu0 kfzRasya saKA waca samA0 . 1 arjjune tannAmake 2 arjjunavfkze ca Sabdaci0 . vAsudevatulyavarRRatvAt 3 kAlajIrake strI Sabdaca0	14893	2219,b
kfzRasamudBavA	strI	kfzRA satI samudBavati sam + BU	ac	kfzRasamudBavA strI kfzRA satI samudBavati sam + BU — ac . kfzRagaNgAyAm . kfzRaHsamudBavoyasya kfzRaputre 2 kAmadevAdO	14894	2219,b
kfzRasarpa				kfzRasarpa puMstrI0 nityaka0 . suSrutokte kfcCrakare kAlarUpe (keuwA) sarpaBede ahiSabde vivftiH “ ASIvizEH kfzRa- sarpEH suptaM cEnamadaMSayat ” BA0 A0 61 a0 striyAM jAtitve'pi saMyogopaDatvAt wAp . 	14895	2219,b
kfzRasarzapa				kfzRasarzapa puM strI0 nityakarmma0 . kAlasarzape (rAisarizA) rAjani0 .	14896	2219,b
kfzRasAra				kfzRasAra pu0 kfzRaSAravad vigrahAdi . 1 mfgaBede “ eRaH kfzRaH prakIrttitaH iti ” BAvapra0 mfgaBedAnaBiDAya “ jANgalAH prAyaSaH sarvve pittaSlezmakarAH smftAH . kiYcidvAtakarA ScApi laGavobalavardDan	14897	2219,b
kfzRasAraNga				kfzRasAraNga pu0 karmma0 . mfgaBede “ kfzRasAraNgaM meDyamaBAve lohitasAraNgam ” kAtyA0 SrO0 7 . 9 . 21 . “ kfzRaHSyAmaH [Page2220-a+ 38] sAraNgaH sAraNgavarRRAnuvidDaH ” karkaH “ kfzRasAraNgaH syAdit	14898	2219,b
kfzRasAraTi				kfzRasAraTi pu0 kfzRaH sAraTirasya . 1 arjune maDyamapARqave yaTA ca tasya tatsAraTitvaM taTA BA0 u0 6 a0 varRRitaM yaTA “ arjjuna uvAca . mavAn samarTastAn sarvvAnnihantuM nAtra saMSayaH . nihantumah	14899	2220,a
kfzRasundara				kfzRasundara tri0 kfzRavarRRo'pi sundaraH . SrIkfzRe . tasyApa- tyam iY . kArzRasundari tadapatye puMstrI0 striyAM NIp bahutve tu tikakitavAditvAt dvandve advandve ca iYo luk .	14900	2220,a
kfzRaskanDa				kfzRaskanDa pu0 kfzRaH skanDo'sya . tamAlavfkze BarataH	14901	2220,a
kfzRAguru				kfzRAguru na0 karmma0 . kAlAguruRi, “ kfzRaM guRADikaM tattu lohavat vAri majjati ” ityuktalakzaRe ganDadravyaBede rAjani0 “ vilipya kfzRAguruRA vAjapeyaPalaM laBet ” A0 ta0 Bavi0 pu0 “ candanAccAgurO	14902	2220,a
kfzRAcala				kfzRAcala pu0 kfzRapriyaH acalaH SA0 ta0 . 1 rEvatakaparvate jawADaraH . tasya dvArakAmannikfzwatvena tadIyAkrIqaparvva- tatvAt tatpriyatatvaM tacca mAGe 4 sarge varRRitam . karmma0 . 2 nIlaparvvate .	14903	2220,a
kfzRAjina				kfzRAjina na0 6 ta0 . kfzRasAramfgasya carmmaRi eReye “ kfzRAjinaM colUKalamUzale ” Sata0 vrA0 1, 1, 1, 22, “ kfzRAjinottarIyASca ” BA0 Anu0 14 a0	14904	2220,a
kfzRAYjanI	strI	ajyate'nayA anja	karaRe lyuw NIp karma0	kfzRAYjanI strI ajyate'nayA anja — karaRe lyuw NIp karma0 . kAlAYjanIvfkza rAjani0 .	14905	2220,a
kfzRAdyatEla				kfzRAdyatEla na0 cakradattokte telaBede “ kfzRAviqaNgamaDuyazwikasinDujanmaviSvOzaDEH payami sidDa- midaM CagalyAH . tElaM nfRAM timiraSukraSiro'kziSUla- pAkAtyayAn jayati nasyaviDO prayuktam ” .	14906	2220,a
kfzRAnadI				kfzRAnadI strI karmma0 bA0 na0 puMvadBAvaH . kfzRagaNgAyAM rAjani0	14907	2220,a
kfzRADvan				kfzRADvan pu0 kfzRaH aDvA yasya . kfzRavartmani vahnO . “ kf- zRADvA tapUraRyaSciketa ” f0 2, 4, 6,	14908	2220,b
kfzRAnanda				kfzRAnanda pu0 tantrasAranAmakatantranibanDakArake tAntrike vidvadBede .	14909	2220,b
kfzRABA	strI	kfzRA satI ABAti A + BA	ka	kfzRABA strI kfzRA satI ABAti A + BA — ka . kAlAYja- nIvfkze rAjani0 .	14910	2220,b
kfzRAmiza				kfzRAmiza na0 kfzRaM vAsudevasAmiyati spardDate varRRenaA + miza — ka . kAlAyase hema0 .	14911	2220,b
kfzRAyasa				kfzRAyasa na0 karmma0 jAtO ac samA0 . lOhaBede ratnamA0	14912	2220,b
kfzRArcis				kfzRArcis pu0 kfzRaH kAlavarRRo'rccirByo yasya . kfzRatA- kArakaSiKe vahnO .	14913	2220,b
kfzRArjaka				kfzRArjaka pu0 karma0 . vizaGne (kAlatulasI) vanavarvare . “ kfzRArjakaH kawUzRaSca kaPavAtAmayApahaH . netrarogavi- nASI ca rucyaH suprasave hitaH ” SAjani0	14914	2220,b
kfzRAlu				kfzRAlu pu0 karmma0 . kAlAlO AluBede rAjani0	14915	2220,b
kfzRAvAsa	pu0	Avasatyasmin A + vasa	ADAre caY 6 ta0	kfzRAvAsa pu0 Avasatyasmin A + vasa — ADAre caY 6 ta0 . aSvatTavfkze . tasya tadAvAsatvamaSvatTaSabde 506 pf0 uktam	14916	2220,b
kfzRAzwamI				kfzRAzwamI strI kfzRA azwamI . 1 kfzRapakzAzwamyAm kfzRasya vAsudevasya janmadinamazwamI . gORaBAdrapadamAsI- yakfzRapakzasyAzwamyAM janmAzwamyAm tasyASca “ aTa BAdrapade mAsi kfzRAzwamyAM kalO yuge .	14917	2220,b
kfzRikA				kfzRikA strI kfzRovarRRo sUmnA'styasya Wan kfzREva saMjYAyAM kanvA . (rAisarizrA) rAjasarzape hemaca0	14918	2228,b
kfzRekzu				kfzRekzu pu0 karmma0 . (kAjalA) ikzuBede kAntArekzO rAjani0 . tadguRAH ikzuSabde 909 pf0 uktAH	14919	2228,b
kfzRodara				kfzRodara puMstrI0 kfzRamudaramasya . darvIkarasarpaBede “ kfzRa- sarpo BahAsarpaH kfzRodaraH ” ityAdi darvIkarasarpaBedOktO suSru0 . ahiSabde vivftiH striyAM jAtitvAt NIz .	14920	2228,b
kfzRodumbarikA				kfzRodumbarikA strI kfzRasyakAkasya priyA udumbarikA . kAkodumbarikAyAm rAjani0	14921	2228,b
kfzya	tri0	kfza	karmmaRi arhArTe kyaz	kfzya tri0 kfza — karmmaRi arhArTe kyaz . karzaRArhe kzetrAdO “ kfzyAM dahannapi nanu kzitiminDanedDaH ” raGuH	14922	2228,b
kfsara	pu0	kf	sara kicca bA0 na zatvam	kfsara pu0 kf — sara kicca bA0 na zatvam . “ tilataRqula sampakvaH kfsaraH so'BiDIyate ” Ca0 pa0 ukte tilaKaRqa miSrite pakve taRqule (KecaqI) kftAnnaBede strI BAvapra0 kftAnnaSabde dfSyam	14923	2228,b
kF				kF vikzepe tudA0 para0 saka0 sew . kirati akArIt . [Page2229-a+ 38] akArizwAm cakAra cakaratuH cakariva . karItA . ka(ri)rIzyati karI(ri)tavyaH kAryyaH . karmmaRi kIryyate akAri akArizAtAm akAri(ka(ri	14924	2228,b
kF				kF hiMsane kyrAdi0 uBa0 saka0 sew . kfRAti akArIt . cakAra cakare karItA karo(ri)zyati te . kIrRaH kIrRiH	14925	2229,a
kF				kF vijYAne curA0 Atma0 saka0 sew . kArayate acIkarata .	14926	2229,a
kFta				kFta saMSaye saSabde cu0 uBa0 saka0 sew . kIrtayati — te acakIrttat — ta kavikalpadrumaH .	14927	2229,a
kxpta	tri0	kfpa	kta	kxpta tri0 kfpa — kta . 1 racite, 2 niyate, “ kxptena sopAnaparTa- neti ” raGuH . 3 Cinne ca . “ kxptakeSanaKaSmaSruH ” manuH	14928	2229,a
kxptakIla	strI	kxptaM kIlayati kIli	aR	kxptakIla strI kxptaM kIlayati kIli — aR . vyavasTAli pO trikA0	14929	2229,a
kxptaDUpa				kxptaDUpa pu0 kxptoDUpoyenaM . sihRake jawA0	14930	2229,a
kxpti	strI	kfpa	BAve ktin	kxpti strI kfpa — BAve ktin . 1 kalpane 2 avaDAraRe 3 nEyatyeca . “ tezAM kxptimanvitare kalpante ” Sata0 brA0 12 . 1 . 1 . 7 “ saMjYAmUrttikxptistrivftkurvvataH ” SA0 sU0	14931	2229,a
kxptika				kxptika tri0 kxptaM mUlyadAnena svatvaM deyatvenAstyasya Wan tataH AgataH kan vA . 2 krIte halA0 tasya mUlyadA- nena svatvanEyatyApAdakatayA taTAtvam .	14932	2229,a
kekaya				kekaya pu0 ba0 va0 deSaBede . “ ataUrdDvaM janapadAnniboDa [Page2229-b+ 38] gadato mama ” ityupakrame “ upAvfttAnupAvfttAH surAzwrAH kekayAstaTA ” BA0 u0 9 a0 . “ uBO BarataSatruGnO kekayezu parantapO	14933	2229,a
