key	key_stem	linga	vyutpatti	nirvacana	base	chain	pratyaya	qualifier	unadi_ref	sutra_quoted	lnum	page	unadi_ref_project	unadi_match
akaruRaH	akaruRa	tri	nAsti karuRA yasya iti .	nAsti karuRA yasya iti .							43	1-002-b		
akarkaSaH	akarkaSa	tri	na karkaSaH . naYsamAsaH .	na karkaSaH . naYsamAsaH .							44	1-002-c		
akarRaH	akarRa	tri	nAsti karRo yasya saH .	nAsti karRo yasya saH .							45	1-002-c		
akarttanaH	akarttana	puM	na + kft + lyuw .		na	na + kft + lyuw	lyuw	kft +			46	1-002-c		
akarttavyaM	akarttavya	tri	na + kfY + tavya . na karttavyaM . naY- samAsaH .		na	na + kfY + tavya . na karttavyaM . naY- samAsaH	samAsaH	kfY + tavya na karttavyaM naY-			47	1-002-c		
akarttA	akarttA	[f] tri	na karttA . naYsamAsaH .	na karttA . naYsamAsaH .							48	1-002-c		
akarmma	akarmma	[n] klI	na karmma . naYsamAsaH .	na karmma . naYsamAsaH .							49	1-002-c		
akarmmaRyaM	akarmmaRya										50	1-002-c		
akarmmA	akarmmA	[n] tri	nAsti karmma yasya . bahu- brIhiH . kAryyAkzamaH . nizkarmmA . kAryyAnupa- yuktaH .. (kriyAmandaH . kukarmmA . svecCAcArI	nAsti karmma yasya . bahu- brIhiH . kAryyAkzamaH . nizkarmmA . kAryyAnupa- yuktaH .. (kriyAmandaH . kukarmmA . svecCAcArI							51	1-002-c		
akarmmAnvitaH	akarmmAnvita	tri	karmmaRA anvitaH na Bava- tIti . na + karmman + anvitaH .	karmmaRA anvitaH na Bava- tIti	na	na + karmman + anvitaH	anvitaH	karmman +			52	1-002-c		
akalkanaH	akalkana	tri	nAsti kalkanaM damBaH yasya saH . na + kalkana .	nAsti kalkanaM damBaH yasya saH	na	na + kalkana	kalkana				53	1-002-c		
akalkA	akalkA	strI	nAsti kalkaH anDakAramAlinyaM yasyAm iti .	nAsti kalkaH anDakAramAlinyaM yasyAm iti .							54	1-003-a		
akalpitaH	akalpita	tri	na kalpita iti . naYsamAsaH .	na kalpita iti . naYsamAsaH .							55	1-003-a		
akalyaH	akalya	tri	na kalyaH susTaH . naYsamAsaH .	na kalyaH susTaH . naYsamAsaH .							56	1-003-a		
akalyARaM	akalyARa	klI	na kalyARaM . naYsamAsaH .	na kalyARaM . naYsamAsaH .							57	1-003-a		
akasmAt	akasmAt										58	1-003-a		
akAraRaM	akAraRa	tri	nAsti kAraRaM yasya saH . na + kA- raRaM .	nAsti kAraRaM yasya saH	na	na + kA- raRaM	raRaM	kA-			59	1-003-a		
akAraRaguRotpannaguRaH	akAraRaguRotpannaguRa	puM	vinA kAraRaguRaM utpannA jAtAH ye guRAH . akAraRaguRa + utpanna + guRa .	vinA kAraRaguRaM utpannA jAtAH ye guRAH	akAraRaguRa	akAraRaguRa + utpanna + guRa	guRa	utpanna +			60	1-003-a		
akArpaRyaM	akArpaRya										61	1-003-a		
akAryyaM	akAryya	klI	na kAryyam . naYsamAsaH .	na kAryyam . naYsamAsaH .							62	1-003-a		
akAlaH	akAla	puM	na kAlaH, apraSastaH kAlo vA . naYsamAsaH .	na kAlaH, apraSastaH kAlo vA . naYsamAsaH .							63	1-003-b		
akAlajaH	akAlaja										64	1-003-b		
akAlajaladodayaH	akAlajaladodaya										65	1-003-b		
akAlameGodayaH	akAlameGodaya	puM	akAle yaH meGAnAm udayaH .	akAle yaH meGAnAm udayaH .							66	1-003-b		
akiYcanaH	akiYcana	tri	nAsti kiYcana yasya . mayU- ravyaMsakAditvAt bahubrIhisamAsaH .	nAsti kiYcana yasya . mayU- ravyaMsakAditvAt bahubrIhisamAsaH .							67	1-003-b		
akiYcanatA	akiYcanatA	strI	akiYcanasya BAvaH . aki- Ycana + tal .	akiYcanasya BAvaH	aki- Ycana	aki- Ycana + tal	tal				68	1-003-b		
akilvizaH	akilviza	tri	nAsti kilvizaM yasya . bahu- brIhiH .	nAsti kilvizaM yasya . bahu- brIhiH .							69	1-003-b		
akIrttiH	akIrtti	strI	na kIrttiH . naYsamAsaH .	na kIrttiH . naYsamAsaH .							70	1-003-c		
akIrttikaraM	akIrttikara	tri	akIrttiM karoti janayati iti . yadvA kIrttikaraM na BavatIti naY- samAsaH .	akIrttiM karoti janayati iti . yadvA kIrttikaraM na BavatIti naY- samAsaH .							71	1-003-c		
akutoBayaH	akutoBaya	tri	nAsti kuto'pi BayaM yasya saH . mayUravyaMsakAdigaRAntargataH . na + kutaH + BayaM .	nAsti kuto'pi BayaM yasya saH . mayUravyaMsakAdigaRAntargataH	na	na + kutaH + BayaM	BayaM	kutaH +			72	1-003-c		
akupyaM	akupya	klI	na kupyaM, kupyAdanyadityarTaH . naY- samAsaH .	na kupyaM, kupyAdanyadityarTaH . naY- samAsaH .							73	1-003-c		
akUpAra	akUpAra	puM	na kUpAraH . naYsamAsaH . kuM pfTivIM pipartti iti kUpAraH . pF pAlana- pfraRayoH . karmmaRi aR . anyezAmapIti dIrGaH .	na kUpAraH . naYsamAsaH . kuM pfTivIM pipartti iti kUpAraH . pF pAlana- pfraRayoH . karmmaRi aR . anyezAmapIti dIrGaH .							74	1-003-c		
akUrccaH	akUrcca	puM	nAsti kUrccaH kEtavaM yasya . bahu- brIhiH .	nAsti kUrccaH kEtavaM yasya . bahu- brIhiH .							75	1-003-c		
akftaM	akfta	tri	na + kf + kta .		na	na + kf + kta	kta	kf +			76	1-003-c		
akftajYaH	akftajYa	tri	na + kfta + jYA + ka . na kftajYaH iti naYsamAsaH .		na	na + kfta + jYA + ka . na kftajYaH iti naYsamAsaH	naYsamAsaH	kfta + jYA + ka . na kftajYaH			77	1-003-c		
akftitvaM	akftitva	klI	Ra + kftin + tva .		Ra	Ra + kftin + tva	tva	kftin +			78	1-003-c		
akftI	akftI	[n] tri	na + kftI . naYsamAsaH .		na	na + kftI . naYsamAsaH	naYsamAsaH	kftI			79	1-003-c		
akftrimaM	akftrima	tri	karaRAt jAtaH kftrimaH . sa na BavatIti naYsamAsaH .	karaRAt jAtaH kftrimaH . sa na BavatIti naYsamAsaH .							80	1-003-c		
akfpaH	akfpa	tri	nAsti kfpA yasya saH .	nAsti kfpA yasya saH .							81	1-004-a		
akfpaRaH	akfpaRa	tri	na kfpaRaH . naYsamAsaH .	na kfpaRaH . naYsamAsaH .							82	1-004-a		
akfzRakarmmA	akfzRakarmmA	[n] tri	na kfzRaM malinaM karmma yasyas saH . na + kfzRa + karmman .	na kfzRaM malinaM karmma yasyas saH	na	na + kfzRa + karmman	karmman	kfzRa +			83	1-004-a		
akeSaH	akeSa	tri	nAsti keSo yasya . alpaH apraSasto vA keSo yasya saH .	nAsti keSo yasya . alpaH apraSasto vA keSo yasya saH .							84	1-004-a		
