key	key_stem	linga	vyutpatti	nirvacana	base	chain	pratyaya	qualifier	unadi_ref	sutra_quoted	lnum	page	unadi_ref_project	unadi_match
I	I										4273	1-215-b		
I	I										4274	1-215-b		
I	I										4275	1-215-c		
I	I										4276	1-215-c		
IH	I										4277	1-215-c		
IH	I	strI	asya vizRoH patnI . NIp .	asya vizRoH patnI . NIp .							4278	1-215-c		
IKa	IKa										4279	1-215-c		
Ikza	Ikza										4280	1-215-c		
IkzaRaM	IkzaRa	klI	Ikza + BAve, lyuw .		Ikza	Ikza + BAve, lyuw	lyuw	BAve,			4281	1-215-c		
IkzaRikA	IkzaRikA	strI	IkzaRena hastareKAdyavalokanena SuBASuBaM jAnAti yA . IkzaRa + Wan + wAp .	IkzaRena hastareKAdyavalokanena SuBASuBaM jAnAti yA	IkzaRa	IkzaRa + Wan + wAp	wAp	Wan +			4282	1-215-c		
Ija	Ija										4283	1-215-c		
Ija	Ija										4284	1-215-c		
Iqa	Iqa										4285	1-215-c		
Iqa	Iqa										4286	1-215-c		
IqA	IqA	strI	Iqa + ka + wAp .		Iqa	Iqa + ka + wAp	wAp	ka +			4287	1-215-c		
IqitaH	Iqita	tri	Iqyate sma . Iq + kta .	Iqyate sma	Iq	Iq + kta	kta				4288	1-215-c		
Ita	Ita										4289	1-216-a		
ItiH	Iti	strI	Iyate 'nayA . I + ktin .	Iyate 'nayA	I	I + ktin	ktin				4290	1-216-a		
Idfk	Idfk	[S] tri	idam + dfS + kvip .		idam	idam + dfS + kvip	kvip	dfS +			4291	1-216-a		
IdfkzaH	Idfkza	tri	ayamiva dfSyate'sAvityAdyarTe . idam + dfS + ksa dfkze ceti IS .	ayamiva dfSyate'sAvityAdyarTe	idam	idam + dfS + ksa dfkze ceti IS	IS	dfS + ksa dfkze ceti			4292	1-216-a		
IdfSaH	IdfSa	tri	ayamiva dfSyate'sO idam + dfS + kaY .		ayamiva dfSyate'sO idam	ayamiva dfSyate'sO idam + dfS + kaY	kaY	dfS +			4293	1-216-a		
Ira	Ira										4294	1-216-a		
Ira	Ira										4295	1-216-a		
IrikA	IrikA										4296	1-216-a		
IriRaM	IriRa	tri	f + iran .		f	f + iran	iran				4297	1-216-a		
IritaM	Irita	tri	Ira + kta .		Ira	Ira + kta	kta				4298	1-216-a		
Irkzya	Irkzya										4299	1-216-a		
Irmma	Irmma	ktI	ira + vAhulakAt mak .		ira	ira + vAhulakAt mak	mak	vAhulakAt			4300	1-216-a		
IryyA	IryyA	strI	Ira + Ryat .		Ira	Ira + Ryat	Ryat				4301	1-216-b		
IrvvAruH	IrvvAru										4302	1-216-b		
IrzA	IrzA	strI	IrzyaRaM . Irzya + GaY . hasAllopa iti yakAralopaH .	IrzyaRaM	Irzya	Irzya + GaY . hasAllopa iti yakAralopaH	yakAralopaH	GaY . hasAllopa			4303	1-216-b		
IrzAluH	IrzAlu	tri	IrzA + Aluc .		IrzA	IrzA + Aluc	Aluc				4304	1-216-b		
Irzya	Irzya										4305	1-216-b		
IrzyA	IrzyA	strI	IrzyaRaM . Irzya + ac + wAp .	IrzyaRaM	Irzya	Irzya + ac + wAp	wAp	ac +			4306	1-216-b		
IrzyAluH	IrzyAlu	tri	IrzyAM lAti . IrzyA + lA + qu .	IrzyAM lAti	IrzyA	IrzyA + lA + qu	qu	lA +			4307	1-216-b		
IliH	Ili	strI	Iryyate iti . Ira + in rasya laH .	Iryyate iti	Ira	Ira + in rasya laH	laH	in rasya			4308	1-216-b		
IlikA	IlikA	strI	Ilireva . Ili + svArTe kan wAp .	Ilireva	Ili	Ili + svArTe kan wAp	wAp	svArTe kan			4309	1-216-b		
IlitaH	Ilita	tri	Iqa + kta . qasya laH .		Iqa	Iqa + kta . qasya laH	laH	kta qasya			4310	1-216-b		
IlI	IlI	strI	Ira + ka . kfdikArAditi pAkziko NIz .		Ira	Ira + ka . kfdikArAditi pAkziko NIz	NIz	ka kfdikArAditi pAkziko			4311	1-216-b		
ISa	ISa										4312	1-216-b		
ISaM	ISa	tri	Izwe iti . IS + ka .	Izwe iti	IS	IS + ka	ka				4313	1-216-b		
ISaH	ISa	puM	Izwe iti . ISa + ka .	Izwe iti	ISa	ISa + ka	ka				4314	1-216-c		
ISasaKaH	ISasaKa	puM	ISasya saKA banDuH rAjAhaHsaKiByaH wac .	ISasya saKA banDuH rAjAhaHsaKiByaH wac .							4315	1-216-c		
ISA	ISA	strI	ISa + a + wAp .		ISa	ISa + a + wAp	wAp	a +			4316	1-216-c		
ISAdaRqaH	ISAdaRqa	puM	ISAyAH lANgalasya daRqaH .	ISAyAH lANgalasya daRqaH .							4317	1-216-c		
ISAdantaH	ISAdanta	puM	ISeva danto yasya .	ISeva danto yasya .							4318	1-216-c		
ISAnaM	ISAna	klI	ISa + AnaS .		ISa	ISa + AnaS	AnaS				4319	1-216-c		
ISAnaH	ISAna	puM	Izwe . IS + tAcCilyavayovacanaSaktizu cAnaS .	Izwe	IS	IS + tAcCilyavayovacanaSaktizu cAnaS	cAnaS	tAcCilyavayovacanaSaktizu			4320	1-216-c		
ISAnI	ISAnI	strI	ISasya patnI .	ISasya patnI .							4321	1-217-a		
ISitA	ISitA	strI	ISino BAvaH . ISin + tal .	ISino BAvaH	ISin	ISin + tal	tal				4322	1-217-a		
ISitA	ISitA	[f] tri	Izwe iti . IS + tfc .	Izwe iti	IS	IS + tfc	tfc				4323	1-217-a		
ISitvaM	ISitva	klI	ISino BAvaH . ISin + tvA .	ISino BAvaH	ISin	ISin + tvA	tvA				4324	1-217-a		
ISvaraM	ISvara	tri	IS + varac .		IS	IS + varac	varac				4325	1-217-a		
ISvaraH	ISvara	puM	Izwe iti . IS + varac . yadvA, aSnute vyApnotIti aSaDAtorvaraw upaDAyA ItvaM ca .	Izwe iti	IS	IS + varac . yadvA, aSnute vyApnotIti aSaDAtorvaraw upaDAyA ItvaM ca	ca	varac yadvA, aSnute vyApnotIti aSaDAtorvaraw upaDAyA ItvaM			4326	1-217-a		
ISvarA	ISvarA	strI	ISvara + wAp . puMyogavivakzAmAvAt na NIz .		ISvara	ISvara + wAp . puMyogavivakzAmAvAt na NIz	NIz	wAp puMyogavivakzAmAvAt na			4327	1-217-b		
ISvarI	ISvarI	strI	Izwe iti + IS + vanip . vanora- ceti NIvrO .		Izwe iti	Izwe iti + IS + vanip . vanora- ceti NIvrO	NIvrO	IS + vanip vanora- ceti			4328	1-217-b		
Iza	Iza										4329	1-217-b		
Iza	Iza										4330	1-217-b		
IzaH	Iza	puM	Iz + ka .		Iz	Iz + ka	ka				4331	1-217-b		
Izat	Izat										4332	1-217-b		
IzatkaraH	Izatkara	puM	Izat + kf + Kal .		Izat	Izat + kf + Kal	Kal	kf +			4333	1-217-b		
IzatpARquH	IzatpARqu	puM	Izat pARquH .	Izat pARquH .							4334	1-217-b		
IzaduzRaM	IzaduzRa	tri	Izacca taduzRaYceti .	Izacca taduzRaYceti .							4335	1-217-b		
IzadraktaH	Izadrakta	puM	Izat raktaH .	Izat raktaH .							4336	1-217-b		
IzA	IzA	strI	Iza + ka + wAp .		Iza	Iza + ka + wAp	wAp	ka +			4337	1-217-c		
IzAdantaH	IzAdanta	puM	Izeva danto yasya .	Izeva danto yasya .							4338	1-217-c		
IzikA	IzikA	strI	Iza + kikan .		Iza	Iza + kikan	kikan				4339	1-217-c		
IziraH	Izira	puM	Iza + kirac .		Iza	Iza + kirac	kirac				4340	1-217-c		
IzIkA	IzIkA	strI	Iza + Ikan . ORAdikapratyayo- 'yam . parParIkAditvAt sADuH .		Iza	Iza + Ikan . ORAdikapratyayo- 'yam . parParIkAditvAt sADuH	sADuH	Ikan ORAdikapratyayo- 'yam parParIkAditvAt			4341	1-217-c		
IzmaH	Izma	puM	Iza + mak .		Iza	Iza + mak	mak				4342	1-217-c		
Iha	Iha										4343	1-217-c		
IhA	IhA	strI	Iha + a + wAp .		Iha	Iha + a + wAp	wAp	a +			4344	1-217-c		
IhAmfgaH	IhAmfga	puM	IhApraDAno mfgo vfkaH .	IhApraDAno mfgo vfkaH .							4345	1-217-c		
IhAvfkaH	IhAvfka	puM	IhApraDAno vfkaH .	IhApraDAno vfkaH .							4346	1-218-a		
u	u										4347	1-218-a		
u	u										4348	1-218-b		
u	u	vya	u Sabwe + kvip + tuk na .		u Sabwe	u Sabwe + kvip + tuk na	na	kvip + tuk			4349	1-218-b		
uH	u	puM	atati viSvamayatvAt sarvvaM vyApnotIti . at + qu .	atati viSvamayatvAt sarvvaM vyApnotIti	at	at + qu	qu				4350	1-218-b		
ukanAhaH	ukanAha										4351	1-218-b		
uktaM	ukta	klI	vac + kta .		vac	vac + kta	kta				4352	1-218-b		
uktaH	ukta	tri	ucyate yaH . vac + karmmaRi kta .	ucyate yaH	vac	vac + karmmaRi kta	kta	karmmaRi			4353	1-218-b		
uktiH	ukti	strI	vac + BAve ktin .		vac	vac + BAve ktin	ktin	BAve			4354	1-218-b		
ukTaM	ukTa	klI	vac + Tak .		vac	vac + Tak	Tak				4355	1-218-b		
ukTaSAH	ukTaSA										4356	1-218-b		
ukTA	ukTA	strI	vac + Tak + wAp .		vac	vac + Tak + wAp	wAp	Tak +			4357	1-218-b		
ukza	ukza										4358	1-218-c		
ukzaH	ukza										4359	1-218-c		
ukzataraH	ukzatara	puM	ukzan + tarap .		ukzan	ukzan + tarap	tarap				4360	1-218-c		
ukzA	ukzA	[n] puM	ukza + kanin .		ukza	ukza + kanin	kanin				4361	1-218-c		
uKa	uKa										4362	1-218-c		
uKa	uKa										4363	1-218-c		
uKarvvalaH	uKarvvala										4364	1-218-c		
uKA	uKA	strI	uKa + ka + wAp .		uKa	uKa + ka + wAp	wAp	ka +			4365	1-218-c		
uKyaM	uKya	tri	uKAyAM saMskftaM . uKA + yat .	uKAyAM saMskftaM	uKA	uKA + yat	yat				4366	1-218-c		
ugraM	ugra	tri	ucyati kruDA sambaDyate . uca samavAye + fjrendretyAdinA rak, gaScAntAdeSaH .	ucyati kruDA sambaDyate	uca samavAye	uca samavAye + fjrendretyAdinA rak, gaScAntAdeSaH	gaScAntAdeSaH	fjrendretyAdinA rak,			4367	1-218-c		
ugraM	ugra										4368	1-218-c		
ugraH	ugra	puM	uca + rak . gaScAntAdeSaH .		uca	uca + rak . gaScAntAdeSaH	gaScAntAdeSaH	rak			4369	1-218-c		
ugrakARqaH	ugrakARqa	puM	ugraH kARqo yasya .	ugraH kARqo yasya .							4370	1-219-a		
ugraganDaM	ugraganDa	klI	ugro ganDo yasmin .	ugro ganDo yasmin .							4371	1-219-a		
ugraganDaH	ugraganDa	puM	ugrastIvraH ganDo yasmin .	ugrastIvraH ganDo yasmin .							4372	1-219-a		
ugraganDA	ugraganDA	strI	ugraH ganDo yasyAH .	ugraH ganDo yasyAH .							4373	1-219-a		
ugracaRqA	ugracaRqA	strI	ugrA caRqA kopanA strI .	ugrA caRqA kopanA strI .							4374	1-219-a		
ugratArA	ugratArA	strI	ugrAdapi BayAt BaktAn trAti tArayati vA yA .. ugra + tF + Ric + ac + wAp . yaTA, niruktO . “ ugrAdapi BayAt trAti yasmAt BaktAn sadA- mbikA ” .		ugrAdapi BayAt BaktAn trAti tArayati vA yA .. ugra	ugrAdapi BayAt BaktAn trAti tArayati vA yA .. ugra + tF + Ric + ac + wAp . yaTA, niruktO .  ugrAdapi BayAt trAti yasmAt BaktAn sadA- mbikA	”	tF + Ric + ac + wAp yaTA, niruktO  ugrAdapi BayAt trAti yasmAt BaktAn sadA- mbikA		ugrAdapi BayAt trAti yasmAt BaktAn sadA- mbikA	4375	1-219-b		
ugratvaM	ugratva	klI	ugrasya BAvaH . ugra + tva .	ugrasya BAvaH	ugra	ugra + tva	tva				4376	1-220-a		
ugraDanvA	ugraDanvA	[n] puM	ugraM Danuryasya . DanuzaScetyanaN .	ugraM Danuryasya . DanuzaScetyanaN .							4377	1-220-a		
ugranAsikaH	ugranAsika	tri	ugrA dIrGA nAsikA yasya .	ugrA dIrGA nAsikA yasya .							4378	1-220-a		
ugraSeKarA	ugraSeKarA	strI	ugrasya mahAdevasya SeKaraM mastakaM vAsasTAnatvenayasyAH .	ugrasya mahAdevasya SeKaraM mastakaM vAsasTAnatvenayasyAH .							4379	1-220-a		
ugrasenaH	ugrasena	puM	ugrA senA yasya .	ugrA senA yasya .							4380	1-220-a		
ugrasenajaH	ugrasenaja	puM	ugrasenAt trAyate iti . ugrasena + jana + qa .	ugrasenAt trAyate iti	ugrasena	ugrasena + jana + qa	qa	jana +			4381	1-220-a		
ugrA	ugrA	strI	ucyati kruDA sambaDyate yA . uca sama- vAye + fjretyAdinA rak gaScAntAdeSaH . tata- zwAp .	ucyati kruDA sambaDyate yA	uca sama- vAye	uca sama- vAye + fjretyAdinA rak gaScAntAdeSaH . tata- zwAp	zwAp	fjretyAdinA rak gaScAntAdeSaH tata-			4382	1-220-a		
uNkuRaH	uNkuRa										4383	1-220-a		
uca	uca										4384	1-220-a		
ucitaM	ucita	tri	vaca + “ rucivacikucikuwiByaH kitac ” [Page1-220-b+ 52] iti kitac pratyayaH .		vaca	vaca + rucivacikucikuwiByaH kitac  [Page1-220-b + 52] iti kitac pratyayaH	pratyayaH	rucivacikucikuwiByaH kitac  [Page1-220-b+ 52] iti kitac		rucivacikucikuwiByaH kitac	4385	1-220-a	4.185	
uccaM	ucca	tri	uccinotIti . ciYa cityAM anyeByo'pi iti qaH . uccEstvamasti atra vA . arSa Adyac, avyayAnAmiti wilopaH .	uccinotIti . ciYa cityAM anyeByo'pi iti qaH . uccEstvamasti atra vA . arSa Adyac, avyayAnAmiti wilopaH .							4386	1-220-b		
uccakEH	uccakE	[s] vya	uccEs + avyayasarvvanAmnAM iti prAgivIyezu arTezu weH prAgakac .		uccEs	uccEs + avyayasarvvanAmnAM iti prAgivIyezu arTezu weH prAgakac	prAgakac	avyayasarvvanAmnAM iti prAgivIyezu arTezu weH			4387	1-220-b		
uccawA	uccawA	strI	ut + caw + ac + wAp .		ut	ut + caw + ac + wAp	wAp	caw + ac +			4388	1-220-b		
uccaRqaH	uccaRqa	tri	ut caRqatIti . caqi kope + ac .	ut caRqatIti	caqi kope	caqi kope + ac	ac				4389	1-220-b		
uccataruH	uccataru	puM	uccaH unnatastaruH .	uccaH unnatastaruH .							4390	1-220-b		
uccatAlaM	uccatAla	klI	uccaH mattatayA pracaRqastAlo yatra .	uccaH mattatayA pracaRqastAlo yatra .							4391	1-220-b		
uccadevaH	uccadeva	puM	uccaH sarvvadevamayatvAt SrezWaH devaH .	uccaH sarvvadevamayatvAt SrezWaH devaH .							4392	1-220-b		
uccandraH	uccandra	puM	uta svalpaM avaSizwaScandro yasmin .	uta svalpaM avaSizwaScandro yasmin .							4393	1-220-b		
uccayaH	uccaya	puM	ut + ci + ac .		ut	ut + ci + ac	ac	ci +			4394	1-220-b		
uccalaM	uccala	klI	uccalatIti . ut + cal + ac .	uccalatIti	ut	ut + cal + ac	ac	cal +			4395	1-220-c		
uccalalAwA	uccalalAwA	strI	uccamunnataM lalAwaM yasyAH .	uccamunnataM lalAwaM yasyAH .							4396	1-220-c		
uccAwanaM	uccAwana	klI	ut + caw + Ric + lyaw .		ut	ut + caw + Ric + lyaw	lyaw	caw + Ric +			4397	1-220-c		
uccAraH	uccAra	puM	uccAryyate parityajyate iti . ut + cara + Ric + GaY .	uccAryyate parityajyate iti	ut	ut + cara + Ric + GaY	GaY	cara + Ric +			4398	1-220-c		
uccAraRaM	uccAraRa										4399	1-220-c		
uccAvacaH	uccAvaca	tri	udak ca avAk ca . mayUravyaMsakA- ditvAt sADuH .	udak ca avAk ca . mayUravyaMsakA- ditvAt sADuH .							4400	1-220-c		
ucciNgawaH	ucciNgawa										4401	1-220-c		
uccUlaH	uccUla	puM	udgatA cUqA yasya . qasya latvam .	udgatA cUqA yasya . qasya latvam .							4402	1-220-c		
uccEH	uccE	[s] vya	uccIyate iti . ut + ci + qEs .	uccIyate iti	ut	ut + ci + qEs	qEs	ci +			4403	1-220-c		
uccEHSravAH	uccEHSravA										4404	1-220-c		
uccErGuzwaM	uccErGuzwa	klI	uccErGuzyate sma . Guza + kta .	uccErGuzyate sma	Guza	Guza + kta	kta				4405	1-221-a		
ucCa	ucCa										4406	1-221-a		
ucCa	ucCa										4407	1-221-a		
ucCannaM	ucCanna	tri	ut + Cad + kta .		ut	ut + Cad + kta	kta	Cad +			4408	1-221-a		
ucCAdanaM	ucCAdana	klI	ut + Cad + Ric + lyuw .		ut	ut + Cad + Ric + lyuw	lyuw	Cad + Ric +			4409	1-221-a		
ucCilInDra	ucCilInDra	klI	utTitaM SilInDram .	utTitaM SilInDram .							4410	1-221-a		
ucCizwaM	ucCizwa	tri	ut Sizyate yat . ut + Siza + kta ..	ut Sizyate yat	ut	ut + Siza + kta	kta	Siza +			4411	1-221-a		
ucCizwaBojanaH	ucCizwaBojana	puM	ucCizwaM devanEvedyAvaSizwaM Bo- janaM yasya .	ucCizwaM devanEvedyAvaSizwaM Bo- janaM yasya .							4412	1-221-b		
ucCizwamodanaM	ucCizwamodana										4413	1-221-b		
ucCIrzakaM	ucCIrzaka	klI	ut UrdDvasTApitaM SIrzaM mastakaM yena . bahuvrIhyarTe kan .	ut UrdDvasTApitaM SIrzaM mastakaM yena . bahuvrIhyarTe kan .							4414	1-221-b		
ucCUnaM	ucCUna	tri	ut + Svi + kta . oditaSceti tasya naH . yajAditvAt samprasAraRe pUrvvarUpe ca hala iti dIrGaH .		ut	ut + Svi + kta . oditaSceti tasya naH . yajAditvAt samprasAraRe pUrvvarUpe ca hala iti dIrGaH	dIrGaH	Svi + kta . oditaSceti tasya naH . yajAditvAt samprasAraRe pUrvvarUpe ca hala			4415	1-221-b		
ucCfNKalaM	ucCfNKala	tri	uNgataM SfNKalaM nigaqaM yasya .	uNgataM SfNKalaM nigaqaM yasya .							4416	1-221-b		
ucCrayaH	ucCraya	puM	ut + Sri + ac .		ut	ut + Sri + ac	ac	Sri +			4417	1-221-c		
ucCrAyaH	ucCrAya	puM	ut + Sri + GaY .		ut	ut + Sri + GaY	GaY	Sri +			4418	1-221-c		
ucCritaM	ucCrita	tri	ut + Sri + kta .		ut	ut + Sri + kta	kta	Sri +			4419	1-221-c		
ucCvasitaM	ucCvasita	tri	ut + Svas + kta .		ut	ut + Svas + kta	kta	Svas +			4420	1-221-c		
ucCvAsaH	ucCvAsa	puM	ut + Svas + GaY .		ut	ut + Svas + GaY	GaY	Svas +			4421	1-221-c		
ujjayanI	ujjayanI										4422	1-221-c		
ujjayantaH	ujjayanta										4423	1-221-c		
ujjayinI	ujjayinI										4424	1-221-c		
ujjAsanaM	ujjAsana	klI	ut, jasu hiMsAyAm . Ric BAve lyuw .	ut, jasu hiMsAyAm . Ric BAve lyuw .							4425	1-221-c		
ujjfmBaM	ujjfmBa	tri	ut + jfmBi + GaY .		ut	ut + jfmBi + GaY	GaY	jfmBi +			4426	1-221-c		
ujjfmBitaM	ujjfmBita	tri	ut + jfmBi + kta ..		ut	ut + jfmBi + kta	kta	jfmBi +			4427	1-221-c		
ujjvalaM	ujjvala	tri	uccErjvalati prakASate iti . ut + jval + ac .	uccErjvalati prakASate iti	ut	ut + jval + ac	ac	jval +			4428	1-221-c		
ujjvalaM	ujjvala	klI	ut + jvala + ac .		ut	ut + jvala + ac	ac	jvala +			4429	1-222-a		
ujjvalaH	ujjvala	puM	ut + jvala + ac .		ut	ut + jvala + ac	ac	jvala +			4430	1-222-a		
ujJa	ujJa										4431	1-222-a		
ujJaH	ujJa	puM	ujJatIti . ujJa + ac .	ujJatIti	ujJa	ujJa + ac	ac				4432	1-222-a		
ujJitaM	ujJita	tri	ujJa + kta .		ujJa	ujJa + kta	kta				4433	1-222-a		
uYCaM	uYCa	klI	uCi + GaY .		uCi	uCi + GaY	GaY				4434	1-222-a		
uYCaH	uYCa	puM	uCi uYCe + GaY .		uCi uYCe	uCi uYCe + GaY	GaY				4435	1-222-a		
uYCanaM	uYCana	klI	uCi + lyuw .		uCi	uCi + lyuw	lyuw				4436	1-222-a		
uYCaSilaM	uYCaSila	klI	uYCaYca SIlaYcatyakavadBAvaH .	uYCaYca SIlaYcatyakavadBAvaH .							4437	1-222-a		
uYCaSIlaH	uYCaSIla	tri	uYCaH SIlaM vfttaM yasya .	uYCaH SIlaM vfttaM yasya .							4438	1-222-b		
uwaH	uwa										4439	1-222-b		
uwajaH	uwaja										4440	1-222-b		
uWa	uWa										4441	1-222-b		
uqa	uqa										4442	1-222-b		
uqu	uqu	klI strI	u rozoktipUrvvakaM qayate iti . u + qI + qu mitadbrAditvAt quH .	u rozoktipUrvvakaM qayate iti	u	u + qI + qu mitadbrAditvAt quH	quH	qI + qu mitadbrAditvAt			4443	1-222-b		
uqupaH	uqupa	puM klI	uqunojalAt pAti rakzatIti . uqu + pA + ka .	uqunojalAt pAti rakzatIti	uqu	uqu + pA + ka	ka	pA +			4444	1-222-b		
uqupatiH	uqupati	puM	uqUnAM patiH .	uqUnAM patiH .							4445	1-222-b		
uqupaTaH	uqupaTa	puM	uqUnAM panTAH .	uqUnAM panTAH .							4446	1-222-b		
uqumbaraM	uqumbara	klI	uquM vfRAtIti . uqu + vf + ac .	uquM vfRAtIti	uqu	uqu + vf + ac	ac	vf +			4447	1-222-b		
uqumbaraH	uqumbara	puM	uqu + vf + ac .		uqu	uqu + vf + ac	ac	vf +			4448	1-222-b		
uqumbaraparRI	uqumbaraparRI	strI	uqumbarasya parRamiva parRaM yasyAH .	uqumbarasya parRamiva parRaM yasyAH .							4449	1-222-c		
uqUpaH	uqUpa	puM klI	uqupaSavde'sya vyutpattirjYeTA .	uqupaSavde'sya vyutpattirjYeTA .							4450	1-222-c		
uqqayanaM	uqqayana	klI	ut + qI + lyuw .		ut	ut + qI + lyuw	lyuw	qI +			4451	1-222-c		
uqqAmaraM	uqqAmara	tri	utkfzwaH qAmaraH .	utkfzwaH qAmaraH .							4452	1-222-c		
uqqInaM	uqqIna	klI	ut + qI + kla .		ut	ut + qI + kla	kla	qI +			4453	1-222-c		
uqqIyamAnaH	uqqIyamAna	tri	ut + qI + SAnac .		ut	ut + qI + SAnac	SAnac	qI +			4454	1-222-c		
uqqISaH	uqqISa	puM	ut + qI + Sa . yadvA uqqAnAM utpaTa- gAminAM yoginAmityarTaH ISaH mahAdevasya yogI- SvaratvAt .		ut	ut + qI + Sa . yadvA uqqAnAM utpaTa- gAminAM yoginAmityarTaH ISaH mahAdevasya yogI- SvaratvAt	SvaratvAt	qI + Sa yadvA uqqAnAM utpaTa- gAminAM yoginAmityarTaH ISaH mahAdevasya yogI-			4455	1-222-c		
ut	ut										4456	1-222-c		
uta	uta										4457	1-222-c		
utaM	uta	tri	vye + kta . yajAditvAt sampasAraRam .		vye	vye + kta . yajAditvAt sampasAraRam	sampasAraRam	kta yajAditvAt			4458	1-222-c		
utaTya	utaTya										4459	1-222-c		
utaTyAnujaH	utaTyAnuja	puM	utaTyasyAnujaH .	utaTyasyAnujaH .							4460	1-223-a		
utaTyAnujanmA	utaTyAnujanmA	[n] puM	utaTyasya anujanmA anujaH .	utaTyasya anujanmA anujaH .							4461	1-223-a		
utAho	utAho	vya	uta ca Aho ca anayoH samAhAraH .	uta ca Aho ca anayoH samAhAraH .							4462	1-223-a		
utAhosvit	utAhosvit										4463	1-223-a		
utkaH	utka	tri	udgataM mano yasya . ut + kan .	udgataM mano yasya	ut	ut + kan	kan				4464	1-223-a		
utkawaM	utkawa	tri	udgataH kawaH AvaraRaM Avarako vA yasya .	udgataH kawaH AvaraRaM Avarako vA yasya .							4465	1-223-a		
utkawaM	utkawa										4466	1-223-a		
utkawaH	utkawa	puM	udgatamadavftteH ucCabdAt svArTe sa- mmodaSceti kawac .	udgatamadavftteH ucCabdAt svArTe sa- mmodaSceti kawac .							4467	1-223-a		
utkawA	utkawA	strI	udgataH kawo yasyAH .	udgataH kawo yasyAH .							4468	1-223-a		
utkaRWaH	utkaRWa	puM	udgataH kaRWo yasya .	udgataH kaRWo yasya .							4469	1-223-a		
utkaRWA	utkaRWA	strI	ut + kaWi + a + wAp .		ut	ut + kaWi + a + wAp	wAp	kaWi + a +			4470	1-223-a		
utkaRWitaM	utkaRWita	tri	utkaRWA jAtAsya . utkaRWA + itac .	utkaRWA jAtAsya	utkaRWA	utkaRWA + itac	itac				4471	1-223-a		
utkaRWitA	utkaRWitA	strI	utkaRWA saYjAtAsyAH . utkaRWA + itac + wAp .	utkaRWA saYjAtAsyAH	utkaRWA	utkaRWA + itac + wAp	wAp	itac +			4472	1-223-b		
utkatA	utkatA	strI	utkasya BAvaH . utka + tal .	utkasya BAvaH	utka	utka + tal	tal				4473	1-223-b		
utkaraH	utkara	puM	utkIryyate iti . ut + kF + ap .	utkIryyate iti	ut	ut + kF + ap	ap	kF +			4474	1-223-b		
utkarzaH	utkarza	puM	ut + kfz + GaY .		ut	ut + kfz + GaY	GaY	kfz +			4475	1-223-b		
utkalaH	utkala	puM	ut + kala + ac .		ut	ut + kala + ac	ac	kala +			4476	1-223-b		
utkalaM	utkala	tri	ut + kala + ac .		ut	ut + kala + ac	ac	kala +			4477	1-223-b		
utkalikA	utkalikA	strI	ut + kala + vun + wAp .		ut	ut + kala + vun + wAp	wAp	kala + vun +			4478	1-223-b		
utkalitaH	utkalita	tri	ut + kala + kta .		ut	ut + kala + kta	kta	kala +			4479	1-223-c		
utkA	utkA	strI	udgataM mano yasyAH . ut + kan + wAp .	udgataM mano yasyAH	ut	ut + kan + wAp	wAp	kan +			4480	1-223-c		
utkAkA	utkAkA	strI	utka + aka + ac + wAp .		utka	utka + aka + ac + wAp	wAp	aka + ac +			4481	1-223-c		
utkAraH	utkAra	puM	utkIryyate iti . ut + kF + GaY .	utkIryyate iti	ut	ut + kF + GaY	GaY	kF +			4482	1-223-c		
utkUwaM	utkUwa	klI	ut + kUw + ka .		ut	ut + kUw + ka	ka	kUw +			4483	1-223-c		
utkuRaH	utkuRa	puM	ut + kuRa + ka .		ut	ut + kuRa + ka	ka	kuRa +			4484	1-223-c		
utkUwaH	utkUwa	puM	unnataMkUwamasya .	unnataMkUwamasya .							4485	1-223-c		
utkfzwaM	utkfzwa	tri	ut + kfz + kta .		ut	ut + kfz + kta	kta	kfz +			4486	1-223-c		
utkfzwaBUmaH	utkfzwaBUma	puM	utkfzwA praSastA BUmiryasmin .	utkfzwA praSastA BUmiryasmin .							4487	1-223-c		
utkocaH	utkoca	puM strI	utkocati aSuBaM nASayatIti . ut + kuca + ka .	utkocati aSuBaM nASayatIti	ut	ut + kuca + ka	ka	kuca +			4488	1-223-c		
utkramaH	utkrama	puM	ut + krama + ac .		ut	ut + krama + ac	ac	krama +			4489	1-223-c		
utkroSaH	utkroSa										4490	1-223-c		
utkziptaH	utkzipta	puM	ut + kzipa + kta .		ut	ut + kzipa + kta	kta	kzipa +			4491	1-223-c		
utkziptikA	utkziptikA	strI	ut + kzip + ktin + kan + wAp .		ut	ut + kzip + ktin + kan + wAp	wAp	kzip + ktin + kan +			4492	1-223-c		
utkzepaRaM	utkzepaRa	klI	ut + kzip + lyuw .		ut	ut + kzip + lyuw	lyuw	kzip +			4493	1-223-c		
utKalA	utKalA	strI	ut + Kala + ac + wAp .		ut	ut + Kala + ac + wAp	wAp	Kala + ac +			4494	1-224-a		
utKAtaM	utKAta	tri	ut + Kana + kta .		ut	ut + Kana + kta	kta	Kana +			4495	1-224-a		
uttaM	utta	tri	unatti sma . undI kledane akarmmakatvAt karttari ktaH . nudavideti pakze natvABAvaH .	unatti sma . undI kledane akarmmakatvAt karttari ktaH . nudavideti pakze natvABAvaH .							4496	1-224-a		
