key	lnum	page	text
trivizwapasad	26	0001	trivizwapasad; AdityAstridaSAH surAH sumanasaH svargOkaso devatA, gIrvARA fBavo'marASca maruto vfndArakA nirjarAH . asvapnA vibuDAstrivizwapasado leKAH suparvARa i-, tyAKyAtA amftASanA animizA devAstaTA dEvatam .. 4 .. 1.1.1.4
leKa	27	0001	leKa; AdityAstridaSAH surAH sumanasaH svargOkaso devatA, gIrvARA fBavo'marASca maruto vfndArakA nirjarAH . asvapnA vibuDAstrivizwapasado leKAH suparvARa i-, tyAKyAtA amftASanA animizA devAstaTA dEvatam .. 4 .. 1.1.1.4
suparvan	28	0001	suparvan; AdityAstridaSAH surAH sumanasaH svargOkaso devatA, gIrvARA fBavo'marASca maruto vfndArakA nirjarAH . asvapnA vibuDAstrivizwapasado leKAH suparvARa i-, tyAKyAtA amftASanA animizA devAstaTA dEvatam .. 4 .. 1.1.1.4
amftASana	29	0001	amftASana; AdityAstridaSAH surAH sumanasaH svargOkaso devatA, gIrvARA fBavo'marASca maruto vfndArakA nirjarAH . asvapnA vibuDAstrivizwapasado leKAH suparvARa i-, tyAKyAtA amftASanA animizA devAstaTA dEvatam .. 4 .. 1.1.1.4
animiza	30	0001	animiza; AdityAstridaSAH surAH sumanasaH svargOkaso devatA, gIrvARA fBavo'marASca maruto vfndArakA nirjarAH . asvapnA vibuDAstrivizwapasado leKAH suparvARa i-, tyAKyAtA amftASanA animizA devAstaTA dEvatam .. 4 .. 1.1.1.4
deva	31	0001	deva; AdityAstridaSAH surAH sumanasaH svargOkaso devatA, gIrvARA fBavo'marASca maruto vfndArakA nirjarAH . asvapnA vibuDAstrivizwapasado leKAH suparvARa i-, tyAKyAtA amftASanA animizA devAstaTA dEvatam .. 4 .. 1.1.1.4
dEvata	32	0001	dEvata; AdityAstridaSAH surAH sumanasaH svargOkaso devatA, gIrvARA fBavo'marASca maruto vfndArakA nirjarAH . asvapnA vibuDAstrivizwapasado leKAH suparvARa i-, tyAKyAtA amftASanA animizA devAstaTA dEvatam .. 4 .. 1.1.1.4
asura	33	0002	asura; asurA dAnavA dEtyA dEteyAH suraSatravaH . pUrvadevAH SukraSizyAH pAtAlanilayAH smftAH .. 5 .. 1.1.1.5
dAnava	34	0002	dAnava; asurA dAnavA dEtyA dEteyAH suraSatravaH . pUrvadevAH SukraSizyAH pAtAlanilayAH smftAH .. 5 .. 1.1.1.5
dEtya	35	0002	dEtya; asurA dAnavA dEtyA dEteyAH suraSatravaH . pUrvadevAH SukraSizyAH pAtAlanilayAH smftAH .. 5 .. 1.1.1.5
