key	lnum	page	text
uzA	2141	9	devakARqaH 496 niSA-strI,niSITinI-strI,rAtri-strI,SarvarI-strI,kzaRadA-strI,kzapA-strI,triyAmA-strI,yAminI-strI,BOtI-strI,tamI-strI,tamA-strI,viBAvarI-strI,rajanI-strI,vasati-strI,SyAmA-strI,vAsateyI-strI,tamasvinI-strI,uzA-strI,dozA-strI,indukAntA-strI niSA niSITinI rAtriH SarvarI kzaRadA kzapA .. 141 .. triyAmA yAminI BOtI tamI tamA viBAvarI . rajanI vasatiH SyAmA vAsateyI tamasvinI .. 142 .. ;p{0010} uzA dozendukAntATa tamisrA darSayAminI (143) .
uzA	2142	49	tiryakkARqaH, paYcendriyAH, sTalacarapaYcendriyAH 3835 go-puMstrI,sOraBeyI-strI,mAheyI-strI,mAhA-strI,suraBi-strI,arjunI-strI,usrA-strI,aGnyA-strI,rohiRI-strI,SfNgiRI-strI,anaqvAhI-strI,anaquhI-strI,uzA-strI,tampA-strI,nilimpikA-strI,taMvA-strI gOH sOraBeyI mAheyI mAhA suraBirarjunI . usrAGnyA rohiRI SfNgiRyanaqvAhyanaquhyuzA .. .. 1265 .. tampA nilimpikA tambA sA tu varREranekaDA (1266) .
uzA	2143	57	avyayavargaH 4557 dozA-a,naktam-a,uzA-a,rAtri-strI dozA naktamuzA rAtrO prage prAtaraharmuKe .. 1533 ..
uzA	2144	57	avyayavargaH 4568 uzA-a,niSAnta-puM uzA niSAnte'lpe kiMcinmanAgIzacca kiMcana (1536) .
uzita	2145	56	sAmAnyakARqaH 4414 pluzwa-klI,pruzwa-klI,dagDa-klI,uzita-klI nizpakvaM kvaTite pluzwapruzwadagDozitAH samAH (1486) .
uzeSa	2146	14	devakARqaH 742 kAmasuta-puM,anirudDa-puM,fzyANka-puM,uzeSa-puM,brahmasU-puM suto'nirudDo fzyANka uzeSo brahmasUSca saH (230) .
uzwra	2147	48	tiryakkARqaH, paYcendriyAH, sTalacarapaYcendriyAH 3806 kramelaka-puM,kulanASa-puM,SiSunAman-puM,Sala-puM,Boli-puM,marupriya-puM,maya-puM,mahANga-puM,vAsanta-puM,dvikakud-puM,durgalaNGana-puM,BUtaGna-puM,uzwra-puM,dAsera-puM,ravaRa-puM,kaRwakASana-puM,dIrGagrIva-puM,kelikIrRa-puM vesaro'Svataro vegasaraScATa kramelakaH . kulanASaH SiSunAmA Salo BolirmarupriyaH .. 1253 .. mayo mahANgo vAsanto dvikakuddurgalaNGanaH . BUtaGna uzwro dASero ravaRaH kaRwakAsanaH .. 1254 .. dIrGagrIvaH kelikIrRaH karaBastu trihAyaRaH (1255) .
uzRa	2148	10	devakARqaH 541 uzRa-puM,uzRAgama-puM,grIzma-puM,nidAGa-puM,tapas-puM,Uzmaka-puM uzRa uzRAgamo grIzmo nidAGastapa UzmakaH (157) .
uzRa	2149	19	martyakARqaH 1210 dakza-puM,pawu-puM,uzRa-puM,uzRaka-puM,sUtTAna-puM,catura-puM yadBavizyo dEvaparo'TAlasyaH SItako'lasaH .. 383 .. mandastundaparimfjo'nuzRo dakzastu peSalaH . pawUzRozRakasUtTAnacaturAScATa tatparaH .. 384 .. AsaktaH pravaRaH prahvaH prasitaSca parAyaRaH (385) .
uzRa	2150	53	sAmAnyakARqaH 4139 uzRa-puM,tigma-puM,tIvra-puM,tIkzRa-puM,caRqa-puM,Kara-puM,pawu-puM SIte tuzAraH SiSiraH suSImaH SItalo jaqaH . himo'TozRe tigmastIkzRastIvraScaRqaH KaraH pawuH .. 1385 ..
uzRaka	2151	19	martyakARqaH 1210 dakza-puM,pawu-puM,uzRa-puM,uzRaka-puM,sUtTAna-puM,catura-puM yadBavizyo dEvaparo'TAlasyaH SItako'lasaH .. 383 .. mandastundaparimfjo'nuzRo dakzastu peSalaH . pawUzRozRakasUtTAnacaturAScATa tatparaH .. 384 .. AsaktaH pravaRaH prahvaH prasitaSca parAyaRaH (385) .
uzRavIrya	2152	51	tiryakkARqaH, paYcendriyAH, jalacarapaYcendriyAH 4050 SiSumAra-puM,ambukUrma-puM,uzRavIrya-puM,mahAvasa-puM SiSumArastvambukUrma uzRavIryo mahAvasaH (1350) .
uzRAMSu	2153	7	devakARqaH 388 Aditya-puM,savitf-puM,aryaman-puM,KarAMSu-puM,sahasrAMSu-puM,uzRAMSu-puM,aMSu-puM,ravi-puM,mArtaRqa-puM,taraRi-puM,gaBasti-puM,aruRa-puM,BAnu-puM,naBomaRi-puM,aharmaRi-puM,sUrya-puM,arka-puM,kiraRa-puM,Baga-puM,grahapuza-puM,pUzan-puM,pataNga-puM,Kaga-puM,mArtARqa-puM,yamunAjanaka-puM,kftAntajanaka-puM,pradyotana-puM,tApana-puM,braDna-puM,haMsa-puM,citraBAnu-puM,vivasvat-puM,sUra-puM,tvazwf-puM,dvAdaSAtman-puM,heli-puM,mittra-puM,DvAntArAti-puM,abjahasta-puM,aMSuhasta-puM,cakrabAnDava-puM,abjabAnDava-puM,aharbAnDava-puM,saptasapti-puM,divAkara-puM,dinakara-puM,ahaskara-puM,divasakara-puM,praBAkara-puM,viBAkara-puM,BAskara-puM,mihira-puM,virocana-puM,grahapati-puM,abjinIpati-puM,gopati-puM,dyupati-puM,vikartana-puM,hari-puM,Suci-puM,ina-puM,gaganaDvaja-puM,gaganADvaga-puM,haridaSva-puM,jagatsAkzin-puM,karmasAkzin-puM,BAsvat-puM,viBAvasu-puM,trayItanu-puM,jagaccakzus-puM,tapana-puM,aruRasAraTi-puM AdityaH savitAryamA KarasahasrozRAMSuraMSU ravi- rmArtaRqastaraRirgaBastiraruRo BAnurnaBo'harmaRiH . sUryo'rkaH kiraRo Bago grahapuzaH pUzA pataNgaH Kago mArtARqo yamunAkftAntajanakaH pradyotanastApanaH .. 95 .. ;p{0008} braDno haMsaScitraBAnurvivasvAnsUrastvazwA dvAdaSAtmA ca heliH . mitro DvAntArAtirabjAMSuhastaScakrAbjAharbAnDavaH saptasaptiH .. 96 .. divAdinAhardivasapraBAviBABAsaH karaH syAnmihiro virocanaH . grahAbjinIgodyupatirvikartano hariH SucInO gaganAdDvajADvagO .. 97 .. haridaSvo jagatkarmasAkzI BAsvAnviBAvasuH . trayItanurjagaccakzustapano'ruRasAraTiH .. 98 ..
uzRAgama	2154	10	devakARqaH 541 uzRa-puM,uzRAgama-puM,grIzma-puM,nidAGa-puM,tapas-puM,Uzmaka-puM uzRa uzRAgamo grIzmo nidAGastapa UzmakaH (157) .
uzRikA	2155	19	martyakARqaH 1241 SrARA-strI,vilepI-strI,taralA-strI,yavAgU-strI,uzRikA-strI SraRAvilepI taralA yavAgUruzRikApi ca (397) .
uzRIza	2156	28	martyakARqaH 1973 mukuwa-klI,mOli-puMstrI,kirIwa-puMklI,kowIra-puMklI,uzRIza-puMklI nAyakastaralo hArAntarmaRirmukuwaM punaH .. 650 .. mOliH kirIwakowIramuzRIzaM puzpadAma tu . mUrDni mAlyaM mAlA sraksvagarBakaH keSamaDyagam .. 651 ..
uzRIza	2157	28	martyakARqaH 2024 uzRIza-puMklI,mUrDavezwana-klI patrorRaM DOtakOSeyamuzRIzo mUrDavezwanam .. 667 ..
uzman	2158	43	tiryakkARqaH, tejaskAyaH 3308 bAzpa-puMklI,uzman-puM saMtApaH saMjvaro bAzpa UzmA jihvAH syurarcizaH (1102) .
usra	2159	8	devakARqaH 389 rocis-klI,usra-puM,ruci-strI,Socis-klI,aMSu-puM,go-puMstrI,jyotis-klI,arcis-strIklI,upaDfti-puM,aBISu-puM,pragraha-puM,Suci-puM,marIci-puMstrI,dIpti-strI,DAman-klI,ketu-puM,GfRi-puM,raSmi-puM,pfSni-puMstrI,pAda-puM,dIDiti-strI,kara-puM,dyuti-strI,dyut-klI,ruc-klI,viroka-puM,kiraRa-puM,tvizi-strI,tviz-strI,BAs-puMstrI,praBA-strI,vasu-puM,gaBasti-puM,BAnu-puM,BA-strI,mayUKa-puM,mahas-klI,Cavi-strI,viBA-strI rocirusraruciSociraMSugo jyotirarcirupaDftyaBISavaH . pragrahaH SucimarIcidIptayo DAmaketuGfRiraSmipfSnayaH .. 99 .. pAdadIDitikaradyutidyuto rugvirokakiraRatvizitvizaH . BAHpraBAvasugaBastiBAnavo BA mayUKamahasI CavirviBA .. 100 ..
usrA	2160	49	tiryakkARqaH, paYcendriyAH, sTalacarapaYcendriyAH 3835 go-puMstrI,sOraBeyI-strI,mAheyI-strI,mAhA-strI,suraBi-strI,arjunI-strI,usrA-strI,aGnyA-strI,rohiRI-strI,SfNgiRI-strI,anaqvAhI-strI,anaquhI-strI,uzA-strI,tampA-strI,nilimpikA-strI,taMvA-strI gOH sOraBeyI mAheyI mAhA suraBirarjunI . usrAGnyA rohiRI SfNgiRyanaqvAhyanaquhyuzA .. .. 1265 .. tampA nilimpikA tambA sA tu varREranekaDA (1266) .
UQA	2161	23	martyakARqaH 1601 saDarmiRI-strI,patnI-strI,sahacarI-strI,pARigfhItI-strI,gfhiRI-strI,gfhAH-puMba,gfha-klI,dArAH-puMba,kzetra-klI,vaDU-strI,BAryA-strI,janI-strI,jAyA-strI,parigraha-puM,dvitIyA-strI,UQA-strI,kalatra-klI suvAsinI vaDUwI syAcciriRwyaTa saDarmiRI . patnI sahacarI pARigfhItI gfhiRI gfhAH .. 512 .. dArA kzetraM vaDUrBAryA janI jAyA parigrahaH . dvitIyoQA kalatraM ca puraMDrI tu kuwumbinI .. 513 ..
Uta	2162	56	sAmAnyakARqaH 4420 syUta-klI,Uta-klI,uta-klI,tantusantata-klI utaM prote syUtamUtamutaM ca tantusaMtate .. 1487 ..
UDas	2163	49	tiryakkARqaH, paYcendriyAH, sTalacarapaYcendriyAH 3861 ApIna-puMklI,UDas-klI ApInamUDo goviw tu gomayaM BUmilepanam .. 1272 ..
UDasya	2164	20	martyakARqaH 1265 dugDa-klI,somaja-klI,gorasa-puM,kzIra-puMklI,UDasya-klI,stanya-klI,puMsavana-klI,payas-klI guqa ikzurasakvATaH SarkarA tu sitopalA .. 402 .. sitA ca maDuDUlistu KaRqastadvikftiH punaH . matsyaRqI PARitaM cApi rasAlAyAM tu BArjitA .. 403 .. SiKariRyaTa yUryUzo raso dugDaM tu somajam . gorasaH kzIramUDasyaM stanyaM puMsavanaM payaH .. 404 ..
Uraja	2165	35	martyakARqaH 2622 arya-puM,BUmispfS-puM,vESya-puM,Uravya-puM,Uraja-puM,viS-puM aryA BUmispfSo vESyA UravyA UrajA viSaH (864) .
Uravya	2166	35	martyakARqaH 2622 arya-puM,BUmispfS-puM,vESya-puM,Uravya-puM,Uraja-puM,viS-puM aryA BUmispfSo vESyA UravyA UrajA viSaH (864) .
UrIkfta	2167	56	sAmAnyakARqaH 4423 aNgIkfta-klI,pratijYAta-klI,UrIkfta-klI,ururIkfta-klI,saMSruta-klI,aByupagata-klI,urarIkfta-klI,ASruta-klI,saNgIrRa-klI,pratiSruta-klI aNgIkftaM pratijYAtamUrIkftorurIkfte .. 1488 .. saMSrutamaByupagatamurarIkftamASrutam . saMgIrRaM pratiSrutaM ca Cinne lUnaM CitaM ditam .. 1489 .. CeditaM KaRqitaM vfkRaM kfttaM prAptaM tu BAvitam . labDamAsAditaM BUtaM patite galitaM cyutam .. 1490 .. srastaM BrazwaM skannapanne SaMsitaM tu suniScitam (1491) .
Uru	2168	26	martyakARqaH 1876 sakTi-klI,Uru-puMstrI UrusaMDirvaNkzaRaH syAtsakTyUrustasya parva tu .. 613 .. jAnurnalakIlo'zWIvAnpaScAdBAgo'sya mandiraH (614) .
UrusanDi	2169	26	martyakARqaH 1875 UrusanDi-strI,vaNkzaRa-puM UrusaMDirvaNkzaRaH syAtsakTyUrustasya parva tu .. 613 .. jAnurnalakIlo'zWIvAnpaScAdBAgo'sya mandiraH (614) .
Urja	2170	10	devakARqaH 536 kArttika-puM,kArttikika-puM,bAhula-puM,Urja-puM jyezWastu Sukro'TAzAQaH SuciH syAcCrAvaRo naBAH . SrAvaRiko'Ta naBasyaH prOzWaBAdraparaH padaH .. 154 .. BAdraScApyASvine tvASvayujezAvaTa kArtikaH . kArtikiko bAhulorjO dvO dvO mArgAdikAvftuH .. 155 ..
Urja	2171	16	devakARqaH 1004 utsAha-puM,pragalBatA-strI,aBiyoga-puM,udyama-puM,prOQi-strI,udyoga-puM,kiyadetikA-strI,aDyavasAya-puM,Urja-puM SokaH SukSocanaM KedaH kroDo manyuH kruDA ruzA . krutkopaH pratiGo rozo ruw cotsAhaH pragalBatA .. 299 .. aBiyogodyamO prOQirudyogaH kiyadetikA . aDyavasAya UrjoTa vIryaM so'tiSayAnvitaH .. 300 ..
Urja	2172	32	martyakARqaH 2421 prARa-puM,sTAman-klI,taras-klI,parAkrama-puM,bala-puMklI,dyumna-klI,SOrya-klI,ojas-klI,Suzma-klI,Suzman-klI,Sakti-strI,Urja-puMstrI,sahas-klI prARaH sTAma taraH parAkramabaladyumnAni SOryOjasI SuzmaM Suzma ca SaktirUrjasahasI yudDaM tu saMKyaM kaliH . ;p{0033} saMgrAmAhavasaMprahArasamarA janyaM yudAyoDanaM saMsPowaH kalaho mfDaM praharaRaM saMyadraRo vigrahaH .. 796 .. dvandvaM samAGAtasamAhvayABisaMpAtasaMmardasamitpraGAtAH . AskandanAjipraDanAnyanIkamaByAgamaSca pravidAraRaM ca .. 797 .. samudAyaH samudayo rAwiH samitisaMgarO . aByAmardaH saMparAyaH samIkaM sAMparAyikam .. 798 .. AkrandaH saMyugaScATa niyudDaM tadBujodBavam (799) .
UrRanABa	2173	47	tiryakkARqaH, caturindriyAH 3662 UrRanABa-puM,tantuvAya-puM,jAlika-puM,jAlakAraka-puM,kfmi-puM,markawaka-puM,lUtA-strI,lAlAsrAva-puM,azwapAd-puM UrRanABastantuvAyo jAliko jAlakArakaH . kfmirmarkawako lUtA lAlAsrAvozwapAcca saH .. 1210 ..
UrRAyu	2174	28	martyakARqaH 2034 kambala-puMstrI,UrRAyu-puM,Avika-puM,OraBra-puM,rallaka-puM kambalaH punarUrRAyurAvikOraBrarallakAH .. 670 ..
UrRAyu	2175	49	tiryakkARqaH, paYcendriyAH, sTalacarapaYcendriyAH 3873 avi-puM,meza-puMklI,UrRAyu-puM,huqa-puM,uraRa-puM,uraBra-puM,meRQaka-puM,vfzRi-puM,eqaka-puM,romaSa-puM,huqu-puM,samPAla-puM,SfNgiRa-puM,Beqa-puM yuvAjo varkaro'vO tu mezorRAyuhuqoraRAH . uraBro meRQako vfzRireqako romaSo huquH .. 1276 .. saMPAlaH SfNgiRo Beqo mezI tu kurarI rujA . jAlakinyavilA veRyaTeqikkaH SiSuvAhakaH .. 1277 .. pfzWaSfNgo vanAjaH syAdavidugDe tvaveH param . soQaM dUsaM marIsaM ca kukkuro vakravAlaDiH .. 1278 .. asTiBugBazaRaH sArameyaH kOleyakaH SunaH . SuniH SvAno gfhamfgaH kurkuro rAtrijAgaraH .. 1279 .. rasanAliqrataparAH kIlaSAyivraRAndukAH . SAlAvfko mfgadaMSaH SvAlarkastu sa rogitaH .. 1280 ..
UrDva	2176	23	martyakARqaH 1524 UrDva-puM,UrDvandama-puM,sTita-puM AsIna upavizwaH syAdUrDva UrDvaMdamaH sTitaH .. 492 ..
UrDva	2177	57	avyayavargaH 4537 uparizwAt-a,upari-a,UrDva-klI uparizwAduparyUrDvaM syAdaDastAdaDo'pyavAk .. 1526 ..
UrDvaka	2178	16	devakARqaH 973 aNkin-puM,AliNgin-puM,UrDvaka-puM mfdaNgo murajaH soNkyAliNgyUrDvaka iti triDA (293) .
UrDvakzipta	2179	56	sAmAnyakARqaH 4398 UrDvakzipta-klI,udaYcita-klI aDaHkziptaM nyaYcitaM syAdUrDvakziptamudaYcitam (1482) .
UrDvajAnuka	2180	21	martyakARqaH 1402 UrDvajYu-puM,UrDvajAnuka-puM,UrDvajYa-puM vikalANgastu pogaRqa UrDvajYurUrDvajAnukaH .. 455 .. UrDvajYaScApyaTa prajYuprajYO viralajAnuke (456) .
UrDvajYa	2181	21	martyakARqaH 1402 UrDvajYu-puM,UrDvajAnuka-puM,UrDvajYa-puM vikalANgastu pogaRqa UrDvajYurUrDvajAnukaH .. 455 .. UrDvajYaScApyaTa prajYuprajYO viralajAnuke (456) .
UrDvajYu	2182	21	martyakARqaH 1402 UrDvajYu-puM,UrDvajAnuka-puM,UrDvajYa-puM vikalANgastu pogaRqa UrDvajYurUrDvajAnukaH .. 455 .. UrDvajYaScApyaTa prajYuprajYO viralajAnuke (456) .
UrDvandama	2183	23	martyakARqaH 1524 UrDva-puM,UrDvandama-puM,sTita-puM AsIna upavizwaH syAdUrDva UrDvaMdamaH sTitaH .. 492 ..
UrDvaBUmi	2184	40	tiryakkARqaH, pfTvIkAyaH 3160 aDityakA-strI,UrDvaBUmi-strI aDityakorDvaBUmiH syAdaDoBUmirupatyakA (1035) .
UrDvaliNga	2185	12	devakARqaH 664 SamBu-puM,Sarva-puM,sTARu-puM,ISAna-puM,ISa-puM,rudra-puM,uqqISa-puM,vAmadeva-puM,vfzANka-puM,kaRWekAla-puM,SaNkara-puM,nIlakaRWa-puM,SrIkaRWa-puM,ugra-puM,DUrjawi-puM,BIma-puM,Barga-puM,mftyuYjaya-puM,paYcamuKa-puM,azwamUrti-puM,SmaSAnaveSman-puM,giriSa-puM,girISa-puM,zaRQa-puM,kapardin-puM,ISvara-puM,UrDvaliNga-puM,ekadfS-puM,tridfS-puM,BAladfS-puM,ekapAd-puM,mfqa-puM,awwahAsin-puM,GanavAhana-puM,ahirbuDna-puM,virUpAkza-puM,vizAntaka-puM,mahAvratin-puM,vahniretas-puM,hiraRyaretas-puM,Siva-puM,asTiDanvan-puM,puruzAsTimAlin-puM,vyomakeSa-puM,Sipivizwa-puM,BErava-puM,digvAsas-puM,kfttivAsas-puM,Bava-puM,nIlalohita-puM,sarvajYa-puM,nAwyapriya-puM,KaRqaparSu-puM,mahAdeva-puM,mahAnawa-puM,maheSvara-puM,hara-puM,paSupati-puM,pramaTapati-puM,umApati-puM,piNgajawa-puM,piNgekzaRa-puM,pinAkaBft-puM,SUlaBft-puM,KawvANgaBft-puM,gaNgABft-puM,ahiBft-puM,induBft-puM,kapAlaBft-puM,gajAsuhfd-puM,pUzAsuhfd-puM,anaNgAsuhfd-puM,kAlAsuhfd-puM,anDakAsuhfd-puM,maKAsuhfd-puM SaMBuH SarvaH sTARurISAna ISo rudroqqISO vAmadevo vfzANkaH . kaRWekAlaH SaMkaro nIlakaRWaH SrIkaRWogrO DUrjawirBImaBargO .. 195 .. mftyuMjayaH paYcamuKo'zwamUrtiH SmaSAnaveSmA giriSo girISaH . zaRQaH kapardISvara UrDvaliNga ekatridfgBAladfgekapAdaH .. 196 .. mfqo'wwahAsI GanavAhano'hirbuDno virUpAkzavizAntakO ca . mahAvratI vahnihiraRyaretAH Sivo'sTiDanvA puruzAsTimAlI .. 197 .. syAvdyomakeSaH SipivizwaBEravO dikkfttivAsA BavanIlalohitO . sarvajYanAwyapriyaKaRqaparSavo mahAparA devanaweSvarA haraH .. 198 .. paSupramaTaBUtomApatiH piNgajawekzaRaH . pinAkaSUlaKawvANgagaNgAhIndukapAlaBft .. 199 .. gajapUzapurAnaNgakAlAnDakamaKAsuhft (200) .
UrDvaloka	2186	7	devakARqaH 341 svarga-puM,trivizwapa-puM,dyo-strI,div-strI,Buvi-strI,taviza-puM,tAviza-puM,nAka-puM,go-strI,tridiva-klI,UrDvaloka-puM,surAlaya-puM svargastrivizwapaM dyodivO BuvistavizatAvizO nAkaH . gOstridivamUrDvalokaH surAlayastatsadastvamarAH .. 87 .. devAH suparvasuranirjaradevatarBubarhirmuKAnimizadEvatanAkileKAH . vfndArakAH sumanasastridaSA amartyAH svAhAsvaDAkratusuDABuja AditeyAH .. 88 .. gIrvARA maruto'svapnA vibuDA dAnavArayaH (89) .
Urmi	2187	42	tiryakkARqaH, jalakAyaH 3239 taraNga-puM,BaNga-puM,vIci-puM,Urmi-puM,utkalikA-strI taraNge BaNgavIcyUrmyutkalikA mahati tviha .. 1075 ..
UrmikA	2188	28	martyakARqaH 2014 UrmikA-strI,aNgulIyaka-klI keyUramaNgadaM bAhuBUzATa karaBUzaRam .. 662 .. kawako valayaM pArihAryAvApO tu kaNkaRam . hastasUtraM pratisara UrmikA tvaNgulIyakam .. 663 ..
Urmimat	2189	55	sAmAnyakARqaH 4348 kuYcita-klI,nata-klI,AvidDa-klI,kuwila-klI,vakra-klI,vellita-klI,vfjina-klI,BaNgura-klI,Bugna-klI,arAla-klI,jihma-klI,Urmimat-klI kuYcitaM natamAvidDaM kuwile vakravellite .. 1456 .. vfjinaM BaNguraM BugnamarAlaM jihmamUrmimat (1457) .
Uza	2190	37	tiryakkARqaH, pfTvIkAyaH 2874 kzArA-strI,Uza-puM mfnmfttikA sA kzArozo mftsA mftsnA ca sA SuBA .. 940 ..
UzaRa	2191	20	martyakARqaH 1303 marica-klI,kfzRa-klI,UzaRa-klI,kolaka-klI,vellaja-klI,DArmapattana-klI,yavanapriya-klI kzavaH kzutABijanano rAjikA rAjasarzapaH .. 418 .. AsurI kfzRikA cAsO kustumburu tu DAnyakam . DanyA DanyAkaM DAnyAkaM marIcaM kfzRamUzaRam .. 419 .. kolakaM vellajaM DArmapattanaM yavanapriyam (420) .
Uzmaka	2192	10	devakARqaH 541 uzRa-puM,uzRAgama-puM,grIzma-puM,nidAGa-puM,tapas-puM,Uzmaka-puM uzRa uzRAgamo grIzmo nidAGastapa UzmakaH (157) .
Uha	2193	16	devakARqaH 1029 SuSrUzA-strI,SravaRa-klI,grahaRa-klI,DAraRa-klI,Uha-puM,apoha-puM,arTavijYAna-klI,tattvajYAna-klI,DIguRa-puM SuSrUzA SravaRaM cEva grahaRaM DAraRaM taTA .. 310 .. ;p{0017} UhApoho'rTavijYAnaM tattvajYAnaM ca DIguRAH (311) .
Uha	2194	17	devakARqaH 1061 vitarka-puM,unnayana-klI,parAmarSa-puM,vimarSana-klI,aDyAhAra-puM,tarka-puM,Uha-puM vitarkaH syAdunnayanaM parAmarSo vimarSanam .. 322 .. aDyAhArastarka Uho'sUyAnyaguRadUzaRam (323) .
fkRa	2195	12	devakARqaH 650 vitta-klI,rikTa-klI,svApateya-klI,rE-puMstrI,sAra-klI,viBava-puM,vasu-klI,dyumna-klI,dravya-klI,pfkTa-klI,fkTa-klI,sva-puMklI,fkRa-klI,draviRa-klI,Dana-puMklI,hiraRya-puM,arTa-puM vittaM rikTaM svApateyaM rAH sAraM viBavo vasu .. 191 .. dyumnaM dravyaM pfkTamfkTaM svamfRaM draviRaM Danam . hiraRyArTO niDAnaM tu kunABiH SevaDirniDiH .. 192 ..
fkTa	2196	12	devakARqaH 650 vitta-klI,rikTa-klI,svApateya-klI,rE-puMstrI,sAra-klI,viBava-puM,vasu-klI,dyumna-klI,dravya-klI,pfkTa-klI,fkTa-klI,sva-puMklI,fkRa-klI,draviRa-klI,Dana-puMklI,hiraRya-puM,arTa-puM vittaM rikTaM svApateyaM rAH sAraM viBavo vasu .. 191 .. dyumnaM dravyaM pfkTamfkTaM svamfRaM draviRaM Danam . hiraRyArTO niDAnaM tu kunABiH SevaDirniDiH .. 192 ..
fkza	2197	8	devakARqaH 402 nakzatra-klI,tArakA-tri,tArA-puMstrI,jyotis-klI,Ba-klI,uqu-strIklI,graha-puM,DizRya-klI,fkza-klI nakzatraM tArakA tArAjyotizI Bamuqu grahaH .. 107 .. DizRyamfkzamaTASvinyaSvakinI dasradevatA . aSvayugvAlinI cATa BaraRI yamadevatA .. 108 ..
fkza	2198	49	tiryakkARqaH, paYcendriyAH, sTalacarapaYcendriyAH 3891 BAllUka-puM,BAlUka-puM,fkza-puM,acCaBalla-puM,BallUka-puM,Balluka-puM BAllUkaBAlUkarkzAcCaBallaBallUkaBallukAH (1289) .
fgvid	2199	33	martyakARqaH 2488 fgvid-puM,hotf-puM yajurvidaDvaryurfgvidDotodgAtA tu sAmavit .. 819 ..
fgveda	2200	15	devakARqaH 810 fgveda-puM svADyAyaH SrutirAmnAyaSCando vedastrayI punaH . fgyajuHsAmavedAH syuraTarvA tu tadudDftiH .. 249 ..
fcIza	2201	40	tiryakkARqaH, pfTvIkAyaH 3115 fcIza-klI,fjIza-klI,pizwapAkaBft-puM BrAzwro'mbarIza fcIzamfjIzaM pizwapAkaBft .. 1020 ..
fjIza	2202	40	tiryakkARqaH, pfTvIkAyaH 3115 fcIza-klI,fjIza-klI,pizwapAkaBft-puM BrAzwro'mbarIza fcIzamfjIzaM pizwapAkaBft .. 1020 ..
fju	2203	19	martyakARqaH 1191 fju-puM,prAYjala-puM,aYjasa-puM citicityAcitAstulyA fjustu prAYjalo'YjasaH .. 375 ..
fju	2204	55	sAmAnyakARqaH 4346 fju-puM,ajihma-puM,praguRa-puM fjAvajihmapraguRAvavAgre'vanatAnate (1456) .
fRa	2205	35	martyakARqaH 2690 fRa-klI,udDAra-puM,paryudaYcana-klI vfdDiH kalAntaramfRaM tUdDAraH paryudaYcanam (881) .
fta	2206	35	martyakARqaH 2630 fta-klI ftaM taddvayamanftaM kfzirmftaM tu yAcitam (866) .
ftu	2207	10	devakARqaH 537 ftu-puM jyezWastu Sukro'TAzAQaH SuciH syAcCrAvaRo naBAH . SrAvaRiko'Ta naBasyaH prOzWaBAdraparaH padaH .. 154 .. BAdraScApyASvine tvASvayujezAvaTa kArtikaH . kArtikiko bAhulorjO dvO dvO mArgAdikAvftuH .. 155 ..
ftu	2208	24	martyakARqaH 1670 ftu-puM rAkA tu sarajAH kanyA strIDarmaH puzpamArtavam . rajastatkAlastu ftuH surataM mohanaM ratam .. 536 .. saMveSanaM saMprayogaH saMBogaSca raho ratiH . grAmyaDarmo niDuvanaM kAmakeliH paSukriyA .. 537 .. vyavAyo mETunaM strIpuMsordvaMdvaM miTunaM ca tat (538) .
ftumatI	2209	24	martyakARqaH 1666 rajasvalA-strI,puzpavatI-strI,aDi-strI,AtreyI-strI,strIDarmiRI-strI,malinI-strI,avI-strI,udakyA-strI,ftumatI-strI nagnA tu kowavI vfdDA paliknyaTa rajasvalA .. 534 .. puzpavatyaDirAtreyI strIDarmiRI malinyavIH . udakyA ftumatI ca puzpahInA tu nizkalA .. 535 ..
fte	2210	57	avyayavargaH 4539 antareRa-a,fte-a,hiruk-a,nAnA-a,pfTak-a,vinA-a,varjana-klI varjane tvantareRartte hirugnAnA pfTagvinA (1527) .
fdDa	2211	18	martyakARqaH 1157 iBya-puM,AQya-puM,Danin-puM,ISvara-puM,fdDa-puM lakzmIvAMllakzmaRaH SrIla iBya AQyo DanISvaraH (357) .
fdDi	2212	18	martyakARqaH 1158 viBUti-strI,saMpatti-strI,lakzmI-strI,SrI-strI,fdDi-strI,sampad-strI fdDe viBUtiH saMpattirlakzmIH SrIfdDisaMpadaH .. 357 ..
fBu	2213	7	devakARqaH 342 amara-puM,deva-puM,suparvan-puM,sura-puM,nirjara-puM,devatA-puM,fBu-puM,barhirmuKa-puM,animiza-puM,dEvata-puM,nAkin-puM,leKa-puM,vfndAraka-puM,sumanas-puM,tridaSa-puM,amartya-puM,svAhABuj-puM,svaDABuj-puM,kratuBuj-puM,Aditeya-puM,gIrvARa-puM,marut-puM,asvapna-puM,vibuDa-puM,dAnavAri-puM svargastrivizwapaM dyodivO BuvistavizatAvizO nAkaH . gOstridivamUrDvalokaH surAlayastatsadastvamarAH .. 87 .. devAH suparvasuranirjaradevatarBubarhirmuKAnimizadEvatanAkileKAH . vfndArakAH sumanasastridaSA amartyAH svAhAsvaDAkratusuDABuja AditeyAH .. 88 .. gIrvARA maruto'svapnA vibuDA dAnavArayaH (89) .
