key	lnum	page	text
aMhas	11	52	sAmAnyakARqaH 4124 aSuBa-klI,duzkfta-klI,durita-klI,pApa-klI,enas-klI,pApman-puM,pAtaka-puMklI,kilbiza-klI,kaluza-klI,kiRva-klI,kalmaza-klI,vfjina-klI,tamas-klI,aMhas-klI,kalka-klI,aGa-klI,paNka-puMklI alakzmIrnirftiH kAlakarRikA syAdaTASuBam . duzkftaM duritaM pApamenaH pApmA ca pAtakam .. 1380 .. kilbizaM kaluzaM kiRvaM kalmazaM vfjinaM tamaH . aMhaH kalkamaGaM paNka upADirDarmacintanam .. 1381 ..
aMhri	12	26	martyakARqaH 1884 caraRa-puMklI,kramaRa-puM,pAda-puM,pada-puMklI,aMhri-puM,calana-puM,krama-puM caraRaH kramaRaH pAdaH padoM'hriScalanaH kramaH (616) .
aMhrinAman	13	44	tiryakkARqaH, vanaspatikAyaH 3353 mUla-klI,buDna-puM,aMhrinAman-klI SironAmAgraM SiKaraM mUlaM buDnoMhri nAma ca (1121) .
aMhripa	14	44	tiryakkARqaH, vanaspatikAyaH 3333 vfkza-puM,aga-puM,SiKarin-puM,SAKin-puM,Palada-puM,adri-puM,haridru-puM,druma-puM,jIrRa-puM,dru-puM,viwapin-puM,kuWa-puM,kzitiruha-puM,kAraskara-puM,vizwara-puM,nandyAvarta-puM,karAlika-puM,taru-puM,vasu-puM,parRin-puM,pulAkin-puM,aMhripa-puM,sAla-puM,anokaha-puM,gacCa-puM,pAdapa-puM,naga-puM,rUkza-puM,agama-puM,puzpada-puM vfkzo'gaH SiKarI ca SAKiPaladAvadrirharidrurdrumo jIrRo drurviwapI kuWaH kzitiruhaH kAraskaro vizwaraH . nandyAvartakarAlikO taruvasU parRI pulAkyaMhripaH sAlAnokahagacCapAdapanagA rUkzAgamO puzpadaH .. 1114 ..
aMhriskanDa	15	26	martyakARqaH 1890 aMhriskanDa-puM,kUrcaSiras-klI kUrcaM kziprasyoparyaMhriskanDaH kUrcaSiraH same .. 617 ..
akampita	16	5	devADidevakARqaH 43 akampita-puM gaRA navAsyarzisaMGA ekAdaSa gaRADipAH . indraBUtiragniBUtirvAyuBUtiSca gotamAH .. 31 .. vyaktaH suDarmA maRqitamOryaputrAvakampitaH . acalaBrAtA metAryaH praBAsaSca pfTakkulAH .. 32 ..
akarkaSa	17	53	sAmAnyakARqaH 4142 komala-puM,mfdula-puM,mfdu-puM,somAla-puM,sukumAra-puM,akarkaSa-puM nizWuraH kakKawaH krUraH paruzaH karkaSaH KaraH .. 1386 .. dfQaH kaWoraH kaWino jaraWaH komalaH punaH . mfdulo mfdusomAlasukumArA akarkaSaH .. 1387 ..
akarRa	18	21	martyakARqaH 1398 akarRa-puM,eqa-puM,baDira-puM akarRa eqo baDiro duScarmA tu dvinagnakaH .. 454 .. vaRqaSca SipivizwaSca KoqaKorO tu KaYjake (455) .
akalkana	19	22	martyakARqaH 1515 vItadamBa-puM,akalkana-puM vEraNgiko virAgArho vItadamBastvakalkanaH .. 490 ..
akasmAt	20	57	avyayavargaH 4554 sahasA-a,ekapade-a,sadyas-a,akasmAt-a,sapadi-a,tatkzaRa-klI sahasEkapade sadyo'kasmAtsapadi tatkzaRe (1532) .
akAmAnumati	21	58	avyayavargaH 4582 akAmAnumati-strI,kAmam-a akAmAnumatO kAmaM syAdomAM paramaM mate (1540) .
akiYcana	22	18	martyakARqaH 1159 daridra-puM,durviDa-puM,duHsTa-puM,durgata-puM,niHsva-puM,kIkawa-puM,akiYcana-puM daridro durviDo duHsTo durgato niHsvakIkawO . akiMcano'DipastvISo netA parivfQo'DiBUH .. 358 .. patIndrasvAminATAryAH praBurBarteSvaro viBuH . ISiteno nAyakaSca niyojyaH paricArakaH .. 359 .. qiNgaraH kiMkaro BftyaScewo gopyaH parAcitaH . dAsaH prezyaH pariskando BujizyaparikarmiRO .. 360 .. parAnnaH paripiRqAdaH parajAtaH parEDitaH (361) .
akiYcanatA	23	7	devADidevakARqaH 326 akiYcanatA-strI ahiMsAsUnftAsteyabrahmAkiMcanatA yamAH .. 81 ..
akupya	24	41	tiryakkARqaH, pfTvIkAyaH 3177 hiraRya-klI,koSa-klI,akupya-klI hiraRyakoSAkupyAni hemni rUpye kftAkfte .. 1045 ..
akUpAra	25	42	tiryakkARqaH, jalakAyaH 3230 pArAvAra-puM,sAgara-puM,avArapAra-puM,akUpAra-puM,udaDi-puM,arRava-puM,vIcimAlin-puM,yAdaISa-puM,srotaISa-puM,vArISa-puM,nadISa-puM,sarasvat-puM,sinDu-puMstrI,udanvat-puM,mitadru-puM,samudra-puM,Akara-puM,makaraniDi-puM,ratnaniDi-puM,jalaniDi-puM,makaraDi-puM,ratnaDi-puM,janaDi-puM,makararASi-puM,ratnarASi-puM,jalarASi-puM pArAvAraH sAgaro'vArapAro'kUpArodaDyaMrRavA vIcimAlI . yAdaH srotovArnadISaH sarasvAnsinDudanvantO mitadruH samudraH .. 1073 .. Akaro makarAdratnAjjalAnniDiDirASayaH . dvIpAntarA asaMKyAste saptEveti tu lOkikAH .. 1074 ..
akftABizekA	26	17	devakARqaH 1089 BawwinI-strI,akftABizekA-strI devI kftABizekAnyA BawwinI gaRikAjjukA (334) .
akrama	27	57	sAmAnyakARqaH 4482 vyutkrama-puM,utkrama-puM,akrama-puM Akrame'DikramakrAntI vyutkramastUtkramAkramO (1511) .
akza	28	22	martyakARqaH 1500 pASaka-puM,prAsaka-puM,akza-puM,devana-puM pASakaH prAsako'kzaSca devanastatpaRo glahaH .. 486 ..
akza	29	31	martyakARqaH 2241 akza-puM mfgayAkzaH striyaH pAnaM vAkpAruzyArTadUzaRe .. 738 .. daRqapAruzyamityetadDeyaM vyasanasaptakam (739) .
akza	30	35	martyakARqaH 2703 karza-puMklI,akza-puM pAyyaM hastAdiBistatra syAdguYjAH paYca mAzakaH .. 883 .. te tu zoqaSa karzo'kzaH palaM karzacatuzwayam . bistaH suvarRo hemno'kze kurubistastu tatpale .. 884 .. tulA palaSataM tAsAM viMSatyA BAra AcitaH . SAkawaH SAkawInaSca SalAwaste daSAcitaH .. 885 .. caturBiH kuqavEH prasTaH prasTEScaturBirAQakaH . caturBirAQakErdroRaH KArI zoqaSaBiSca tEH .. 886 ..
akza	31	37	tiryakkARqaH, pfTvIkAyaH 2881 sOvarcala-puMklI,akza-klI,rucaka-klI,durganDa-klI,SUlanASana-klI sOvarcale'kzaM rucakaM durganDaM SUlanASanam (943) .
akza	32	45	tiryakkARqaH, vanaspatikAyaH 3432 kali-puM,akza-puM,biBItaka-tri DAtrI SivA cAmalakI kalirakzo biBItakaH .. 1145 ..
akza	33	52	sAmAnyakARqaH 4134 hfzIka-klI,akza-klI,karaRa-klI,srotas-klI,Ka-klI,vizayi-klI,indriya-klI hfzIkamakzaM karaRaM srotaH KaM vizayIndriyam .. 1383 ..
akzata	34	20	martyakARqaH 1256 lAjAH-puMstrIba,akzata-puMklI,akzatAH-puMba pfTukaScipiwastulyO lAjAH syuH punarakzatAH .. 401 ..
akzatAH	35	20	martyakARqaH 1256 lAjAH-puMstrIba,akzata-puMklI,akzatAH-puMba pfTukaScipiwastulyO lAjAH syuH punarakzatAH .. 401 ..
akzadarSaka	36	30	martyakARqaH 2180 prAqvivAka-puM,akzadarSaka-puM drazwA tu vyavahArARAM prAqvivAko'kzadarSakaH (720) .
akzadevin	37	22	martyakARqaH 1498 kitava-puM,dyUtakft-puM,DUrta-puM,akzaDUrta-puM,akzadevin-puM kitavo dyUtakfdDUrto'kzaDUrtaScAkzadevini .. 485 ..
akzaDUrta	38	22	martyakARqaH 1498 kitava-puM,dyUtakft-puM,DUrta-puM,akzaDUrta-puM,akzadevin-puM kitavo dyUtakfdDUrto'kzaDUrtaScAkzadevini .. 485 ..
akzapaRa	39	22	martyakARqaH 1501 akzapaRa-puM,glaha-puM pASakaH prAsako'kzaSca devanastatpaRo glahaH .. 486 ..
akzamAlA	40	34	martyakARqaH 2580 akzamAlA-strI,arunDatI-strI vasizWo'runDatIjAnirakzamAlA tvarunDatI .. 849 ..
akzara	41	6	devADidevakARqaH 298 mahAnanda-puM,amfta-klI,sidDi-strI,kEvalya-klI,apunarBava-puM,Siva-klI,niHSreyas-klI,Sreyas-klI,nirvARa-klI,brahman-puM,nirvfti-strI,mahodaya-puM,sarvaduHKakzaya-puM,niryARa-klI,akzara-klI,mukti-strI,mokza-puM,apavarga-puM mahAnando'mftaM sidDiH kEvalyamapunarBavaH . SivaM niHSreyasaM Sreyo nirvARaM brahma nirvftiH .. 74 .. mahodayaH sarvaduHKakzayo niryARamakzaram . muktirmokzo'pavargo'Ta mumukzuH SramaRo yatiH .. 75 .. vAcaMyamo vratI sADuranagAra fzirmuniH . nirgranTo Bikzurasya svaM tapoyogaSamAdayaH .. 76 ..
akzaracaYcu	42	22	martyakARqaH 1492 leKaka-puM,akzaracaRa-puM,akzarajIvaka-puM,akzaracaYcu-puM,vArRika-puM,lipikara-puM leKake'kzarapUrvAH syuScaRajIvakacaYcavaH .. 483 ..
akzaracaRa	43	22	martyakARqaH 1492 leKaka-puM,akzaracaRa-puM,akzarajIvaka-puM,akzaracaYcu-puM,vArRika-puM,lipikara-puM leKake'kzarapUrvAH syuScaRajIvakacaYcavaH .. 483 ..
akzarajIvaka	44	22	martyakARqaH 1492 leKaka-puM,akzaracaRa-puM,akzarajIvaka-puM,akzaracaYcu-puM,vArRika-puM,lipikara-puM leKake'kzarapUrvAH syuScaRajIvakacaYcavaH .. 483 ..
akzaranyAsa	45	22	martyakARqaH 1493 akzaranyAsa-puM,lipi-strI,livi-strI vArRiko lipikaraScAkzaranyAse lipirliviH (484) .
akzavatI	46	22	martyakARqaH 1499 durodara-puMklI,kEtava-klI,dyUta-puMklI,akzavatI-strI,paRa-puM durodaraM kEtavaM syAddyUtamakzavatI paRaH (486) .
akzavAwa	47	33	martyakARqaH 2431 niyudDaBU-strI,akzavAwa-puM niyudDaBUrakzavAwo moho mUrcCA ca kaSmalam .. 801 ..
akzAgrakIla	48	31	martyakARqaH 2295 akzAgrakIla-puM,aRi-puMstrI,ARi-puMstrI raTANgaM raTapAdo'ri cakraM DArA punaH praDiH .. 755 .. nemirakzAgrakIle tvaRyARI nABistu piRqikA (756) .
akzAnti	49	19	martyakARqaH 1227 akzAnti-strI,IrzyA-strI IrzyAluH kuhano'kzAntirIrzyA kroDI tu rozaRaH .. 391 .. amarzaRaH kroDanaSca caRqastvatyantakopanaH (392) .
akzi	50	25	martyakARqaH 1767 cakzus-klI,akzi-klI,IkzaRa-klI,netra-klI,nayana-klI,dfzwi-strI,ambaka-klI,locana-klI,darSana-klI,dfS-strI cakzurakzIkzaRaM netraM nayanaM dfzwirambakam . locanaM darSanaM dfkca tattArA tu kanInikA .. 575 ..
akzikUwaka	51	47	tiryakkARqaH, paYcendriyAH, sTalacarapaYcendriyAH 3712 IzikA-strI,akzikUwaka-klI karRamUlaM cUlikA syAdIzikA tvakzikUwakam (1225) .
akzigata	52	21	martyakARqaH 1381 dvezya-puM,akzigata-puM cakzuzyaH suBago dvezyo'kzigato'TAMsalo balI .. 448 .. nirdigDo mAMsalaScopacito'Ta durbalaH kfSaH . kzAmaH kzIRastanuSCAtastalinAmAMsapelavAH .. 449 ..
akzimala	53	27	martyakARqaH 1928 akzimala-klI,dUzIkA-strI,dUzikA-strI kaRqarA tu mahAsnAyurmalaM kiwwaM tadakzijam .. 631 .. dUzIkA dUzikA jEhvaM kulukaM pippikA punaH . dantyaM kArRaM tu piYjUzaH SiNGARo GrARasaMBavam .. 632 ..
akzivikURita	54	25	martyakARqaH 1773 arDavIkzaRa-klI,apANgadarSana-klI,kAkza-puM,kawAkza-puM,akzivikURita-klI asOmye'kzaRyanakzi syAdIkzaRaM tu niSAmanam .. 576 .. niBAlanaM niSamanaM niDyAnamavalokanam . darSanaM dyotanaM nirvarRanaM cATArDavIkzaRam .. 577 .. apANgadarSanaM kAkzaH kawAkzo'kzivikURitam (578) .
akzIva	55	37	tiryakkARqaH, pfTvIkAyaH 2877 sAmudra-klI,lavaRa-klI,akzIva-klI,vaSira-puM rumA lavaRaKAniH syAtsamudraM lavaRaM hi yat . tadakzIvaM vaSiraSca sEnDavaM tu nadIBavam .. 941 .. mARimanTaM SItaSivaM rOmakaM tu rumABavam . vasukaM vastUkaM tacca viqapAkye tu kftrime .. 942 ..
akzIva	56	44	tiryakkARqaH, vanaspatikAyaH 3388 Sigru-puMklI,SoBAYjana-puM,akzIva-puM,tIkzRaganDaka-puM,mocaka-puM SigruH SoBAYjano'kzIvatIkzRaganDakamocakAH (1134) .
akzOhiRI	57	31	martyakARqaH 2275 akzOhiRI-strI senA senAmuKaM gulmo vAhinI pftanA camUH .. 748 .. anikinI ca patteH syAdiByAdyEstriguREH kramAt . daSAnikinye'kzOhiRI sajjanaM tUparakzaRam .. 749 ..
aKaRqa	58	54	sAmAnyakARqaH 4296 sarva-klI,samasta-klI,anyUna-klI,samagra-klI,sakala-klI,sama-klI,viSva-klI,aSeza-klI,aKaRqa-klI,kftsna-klI,nyakza-klI,niKila-klI,aKila-klI sarvaM samastamanyUnaM samagraM sakalaM samam . viSvASezAKaRqakftsnanyakzARi niKilAKile .. 1433 ..
aKAta	59	43	tiryakkARqaH, jalakAyaH 3291 aKAta-klI,devaKAta-klI aKAtaM tu devaKAtaM puzkariRyAM tu KAtakam (1094) .
aKAtabila	60	40	tiryakkARqaH, pfTvIkAyaH 3156 aKAtabila-puMklI,gahvara-klI,guhA-strI darI syAtkandaro'KAtabile tu gahvaraM guhA .. 1033 ..
aKila	61	54	sAmAnyakARqaH 4296 sarva-klI,samasta-klI,anyUna-klI,samagra-klI,sakala-klI,sama-klI,viSva-klI,aSeza-klI,aKaRqa-klI,kftsna-klI,nyakza-klI,niKila-klI,aKila-klI sarvaM samastamanyUnaM samagraM sakalaM samam . viSvASezAKaRqakftsnanyakzARi niKilAKile .. 1433 ..
aKeditva	62	6	devADidevakARqaH 278 aKeditva-klI saMskAravattvamOdAryamupacAraparItatA . meGanirGozagAmBIryaM pratinAdaviDAyitA .. 65 .. dakziRatvamupanItarAgatvaM ca mahArTatA . avyAhatatvaM SizwatvaM saMSayAnamasaMBavaH .. 66 .. nirAkftAnyottaratvaM hfdayaMgamitApi ca . miTaH sAkANkzatA prastAvOcityaM tattvanizWatA .. 67 .. aprakIrRaprasftatvamasvaSlAGAnyaninditA . ABijAtyamatisnigDamaDuratvaM praSasyatA .. 68 .. amarmaveDitOdAryaM DarmArTapratibadDatA . kArakAdyaviparyAso viBramAdiviyuktatA .. 69 .. citrakfttvamadButatvaM taTAnativilambitA . anekajAtivEcitryamAropitaviSezitA .. 70 .. sattvapraDAnatA varRapadavAkyaviviktatA . avyucCittiraKeditvaM paYcaviMSacca vAgguRAH .. 71 ..
aga	63	44	tiryakkARqaH, vanaspatikAyaH 3333 vfkza-puM,aga-puM,SiKarin-puM,SAKin-puM,Palada-puM,adri-puM,haridru-puM,druma-puM,jIrRa-puM,dru-puM,viwapin-puM,kuWa-puM,kzitiruha-puM,kAraskara-puM,vizwara-puM,nandyAvarta-puM,karAlika-puM,taru-puM,vasu-puM,parRin-puM,pulAkin-puM,aMhripa-puM,sAla-puM,anokaha-puM,gacCa-puM,pAdapa-puM,naga-puM,rUkza-puM,agama-puM,puzpada-puM vfkzo'gaH SiKarI ca SAKiPaladAvadrirharidrurdrumo jIrRo drurviwapI kuWaH kzitiruhaH kAraskaro vizwaraH . nandyAvartakarAlikO taruvasU parRI pulAkyaMhripaH sAlAnokahagacCapAdapanagA rUkzAgamO puzpadaH .. 1114 ..
agada	64	22	martyakARqaH 1463 Bezaja-klI,tantra-klI,OzaDa-klI,BEzajya-klI,agada-puM,jAyu-puM dozajYastu BizagvEdya AyurvedI cikitsakaH . rogahAryagadaMkAro BezajaM tantramOzaDam .. 472 .. BEzajyamagado jAyuScikitsA rukpratikriyA . upacaryopacArO ca laNGanaM tvapatarpaRam .. 473 ..
agadaNkAra	65	22	martyakARqaH 1462 dozajYa-puM,Bizaj-puM,vEdya-puM,Ayurvedin-puM,cikitsaka-puM,rogahArin-puM,agadaNkAra-puM dozajYastu BizagvEdya AyurvedI cikitsakaH . rogahAryagadaMkAro BezajaM tantramOzaDam .. 472 .. BEzajyamagado jAyuScikitsA rukpratikriyA . upacaryopacArO ca laNGanaM tvapatarpaRam .. 473 ..
agama	66	44	tiryakkARqaH, vanaspatikAyaH 3333 vfkza-puM,aga-puM,SiKarin-puM,SAKin-puM,Palada-puM,adri-puM,haridru-puM,druma-puM,jIrRa-puM,dru-puM,viwapin-puM,kuWa-puM,kzitiruha-puM,kAraskara-puM,vizwara-puM,nandyAvarta-puM,karAlika-puM,taru-puM,vasu-puM,parRin-puM,pulAkin-puM,aMhripa-puM,sAla-puM,anokaha-puM,gacCa-puM,pAdapa-puM,naga-puM,rUkza-puM,agama-puM,puzpada-puM vfkzo'gaH SiKarI ca SAKiPaladAvadrirharidrurdrumo jIrRo drurviwapI kuWaH kzitiruhaH kAraskaro vizwaraH . nandyAvartakarAlikO taruvasU parRI pulAkyaMhripaH sAlAnokahagacCapAdapanagA rUkzAgamO puzpadaH .. 1114 ..
agaru	67	27	martyakARqaH 1952 aguru-puMklI,agaru-puMklI,rAjArha-klI,loha-klI,kfmija-klI,vaMSika-strIklI,anAryaja-klI,joNgaka-klI agurvagaru rAjArhaM lohaM kfmijavaMSike . anAryajaM joNgikaM ca maNgalyA malliganDi yat .. 640 .. kAlAguruH kAlatuRqaH SrIKaRqo rohaRadrumaH . ganDasAro malayajaScandane haricandane .. 641 .. tElaparRikagoSIrzO pattrANgaM raktacandanam . kucandanaM tAmrasAraM raYjanaM tilaparRikA .. 642 ..
agasti	68	9	devakARqaH 455 agastya-puM,agasti-puM,pItAbDi-puM,vAtApidviz-puM,GawodBava-puM,mEtrAvaruRi-puM,Agneya-puM,OrvaSeya-puM,AgnimAruta-puM agastyo'gastiH pItAbDirvAtApidviqGawodBavaH .. 122 .. mEttrAvaruRirAgneya OrvaSeyAgnimArutO (123) .
agastya	69	9	devakARqaH 455 agastya-puM,agasti-puM,pItAbDi-puM,vAtApidviz-puM,GawodBava-puM,mEtrAvaruRi-puM,Agneya-puM,OrvaSeya-puM,AgnimAruta-puM agastyo'gastiH pItAbDirvAtApidviqGawodBavaH .. 122 .. mEttrAvaruRirAgneya OrvaSeyAgnimArutO (123) .
agastyaBAryA	70	9	devakARqaH 456 lopAmudrA-strI,agastyaBAryA-strI,kOzItakI-strI,varapradA-strI lopAmudrA tu tadBAryA kOzItakI varapradA .. 123 ..
agADa	71	42	tiryakkARqaH, jalakAyaH 3223 asTAGa-vA,asTAga-vA,astAGa-vA,agADa-vA,atalaspfS-vA asTATAsTAgamastAGamagADaM cAtalaspfSi .. 1070 ..
agADa	72	52	narakakARqaH 4083 garta-puMstrI,SvaBra-klI,avawa-puM,agADa-puM,dara-tri,BUvivara-klI gartaSvaBrAvawAgADadarAstu vivare BuvaH .. 1364 ..
agADajala	73	43	tiryakkARqaH, jalakAyaH 3282 draha-puM,agADajala-puM,hrada-puM jambAlecakilO paNkaH kardamaSca nizadvaraH . SAdo hiraRyabAhustu SoRo nade punarvahaH .. 1090 .. Bidya uDyaH sarasvAMSca draho'gADajalo hradaH (1091) .
agAra	74	39	tiryakkARqaH, pfTvIkAyaH 3018 geha-puMklI,gfha-puMklI,veSman-klI,niketana-klI,mandira-strIklI,sadana-klI,sadman-klI,nikAyya-puM,Bavana-puMklI,kuwa-puM,Alaya-puM,nilaya-puM,SAlA-strI,saBA-strI,udavasita-klI,kula-klI,DizRya-klI,AvasaTa-klI,sTAna-klI,pastya-klI,saMMstyAya-puM,ASraya-puM,okas-klI,nivAsa-puM,AvAsa-puM,vasati-strI,SaraRa-klI,kzaya-puM,DAman-klI,agAra-klI,niSAnta-klI gehaBUrvAstu gehe tu gfhaM veSma niketanam .. 989 .. mandiraM sadanaM sadma nikAyyo BavanaM kuwaH . Alayo nilayaH SAlA saBodavasitaM kulam .. 990 .. DizRyamAvasaTaM sTAnaM pastyaM saMstyAya ASrayaH . oko nivAsa AvAso vasatiH SaraRaM kzayaH .. 991 .. DAmAgAraM niSAntaM ca kuwwimaM tvasya badDaBUH (992) .
